Mode,T_max_CPU_C,T_avg_CPU_C,T_min_CPU_C,T_max_Battery_C,T_avg_Battery_C,Average_Solar_Flux_W
Nadir-pointing,39.55066574475222,17.45303720445655,1.964018520651507,28.734769569635773,10.96555419694373,32.85041174847775
Sun-pointing,24.504713003087545,-12.245213804366848,-20.688294059201667,20.01166629898256,-17.842688495450066,12.949525818989455
Slew,29.533148270926347,9.409986209479651,-2.758807160613401,20.521500480483212,3.1600855135673696,27.19073098614958
