Complexity,Loss,Equation
1,0.08947163,"0.5928078"
3,0.06405899,"square(cos(x))"
4,0.0005231946,"sin(x * 3.1086602)"
6,0.0002127918,"sin((x * 3.0466044) + 0.052621633)"
7,4.6263933e-5,"sin(sin(x * 3.1384368)) * 1.1433414"
11,4.6263845e-5,"((x + 1.1433421) - x) * sin(sin(3.1384423 * x))"
13,4.626359e-5,"(((x + 1.5967467) - x) * 0.7160389) * sin(sin(x * 3.1384614))"
17,4.626357e-5,"(sin(sin(x * 3.1384614)) * (((1.5967467 + (x + x)) - x) - x)) * 0.7160389"
19,4.5211294e-5,"(((x + (1.1564528 - x)) + sin(x)) - sin(x)) * sin(sin(x * 3.1332967) * 0.9798977)"
