config_id,n_nodes,boundary_area,entanglement_entropy,std_nodal_area
0,30,43.27783960487327,23.37003338663157,10.725068248844813
1,40,54.91272319113072,29.65287052321059,9.639214634136353
2,20,32.62818895481339,17.619222035599233,9.624856946364737
3,20,31.187075775243905,16.84102091863171,7.257027613243955
4,50,81.58983692458034,44.05851193927339,12.028361409278011
5,30,45.59877383653552,24.623337871729184,10.443792448661307
6,50,73.65014071143554,39.77107598417519,10.341747273663813
7,20,33.065948657072106,17.855612274818938,10.298230351386946
8,40,54.95113238628114,29.673611488591817,8.664762112115467
9,20,34.146440404627015,18.43907781849859,8.830276977056968
10,40,71.23798543888013,38.46851213699527,9.29789701638896
11,30,42.89692951882149,23.164341940163606,9.594392212133814
