Complexity,Loss,Equation
1,41.28683,"10.898433"
3,0.709849,"x0 + 0.5437058"
5,0.4181011,"(x0 - -1.4645458) * 0.9220913"
7,0.41810098,"((x0 - -1.0215564) * 0.92209244) - -0.4084606"
