cycle,cka,ev3
1,1.0,3.68136163362619e-221
2,0.9880596828243543,1.0853061849430721e-216
3,0.983171261388743,1.129846708642815e-213
4,0.9841410359279299,1.5613317784968294e-214
5,0.9828109592722192,2.9312816845845456e-215
