cycle,measured_temp,power_w,pred_max_temp,pred_time_to_crit,action,cycle_time_ms
1,26.899342830602247,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.5772000004071742
2,28.67168997036801,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.2348999842070043
3,30.60122767798815,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.1886999816633761
4,32.70583364926975,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.1939999929163605
5,34.45900297432508,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.14359998749569058
6,36.212175582935245,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.15059998258948326
7,38.32801814603672,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.38339997990988195
8,40.281505091867295,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.3766000154428184
9,41.9876102146803,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.37670001620426774
10,43.89612222339749,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.374099996406585
11,45.603438684835,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.37120000342838466
12,47.31029273412094,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.21920001017861068
13,49.15868518843415,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.37399999564513564
14,50.57602913950259,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.38570002652704716
15,52.03104557299998,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.375000003259629
16,53.71858806715178,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.37620001239702106
17,55.31602184308489,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.41810001130215824
18,57.17887130960394,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.3591999993659556
19,58.797266494499695,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.24239998310804367
20,60.31480575423264,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.32679998548701406
21,62.40793550801695,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.24930000654421747
22,64.16278024791964,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.20140002015978098
23,65.97628588885722,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.2801000082399696
24,67.49133625161453,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.37590001011267304
25,69.1824597067095,30.0,17.555768966674805,43.22417449951172,NOMINAL,0.3766999871004373
26,71.00464422465147,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.1959000073838979
27,69.574445509167,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.18229999113827944
28,71.44958511283613,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.20039998344145715
29,70.12945737485236,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.38559999666176736
30,68.87111862489371,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.363900006050244
31,70.55077730244783,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.24920000578276813
32,69.7212329393496,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.24759999359957874
33,71.51853349440202,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.18870001076720655
34,70.10699130861084,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.18689999706111848
35,69.07150029103148,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.24900000425986946
36,70.62733156103728,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.37059999885968864
37,69.46910428003822,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.37519997567869723
38,70.87717025526227,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.38059998769313097
39,69.41153304548259,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.50970001029782
40,71.25090529265641,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.3717999788932502
41,70.19859860865549,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.37960000918246806
42,69.03287226489348,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.41149999015033245
43,70.80974260841583,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.2638000005390495
44,69.54952186929798,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.3577999887056649
45,71.05381747122449,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.36189999082125723
46,69.70984862954555,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.37779999547638
47,71.41772087535358,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.3865000035148114
48,70.42914532059736,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.3664999967440963
49,69.29786897851105,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.305800000205636
50,70.7452609474385,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.38670000503771007
51,69.61007774131745,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.37429999792948365
52,71.3330612852342,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.374700000975281
53,69.997676885173,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.37980001070536673
54,71.92001214294116,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.37919997703284025
55,70.92621204744034,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.378099997760728
56,69.91246807126358,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.3724000125657767
57,71.54462456661905,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.37570000858977437
58,70.28278209144881,5.0,16.879716873168945,39.02104949951172,THROTTLE,0.36249999538995326
59,69.14903477772953,30.0,16.879716873168945,39.02104949951172,NOMINAL,0.3892000240739435
60,71.144143803154,5.0,17.555768966674805,43.22417449951172,THROTTLE,0.4070000140927732
