config_id,domain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87
0,CausalLayered,0.8432665478549713,0.6251715629214253,0.8697764179633882,0.6738934117257221,0.04,-0.07355156458084461,1.8651487712104151,0.03874601317547666,0.8432665478549713,0.6251715629214253,0.8697764179633882,0.6738934117257221,0.04,-0.07355156458084461,1.8651487712104151,0.03874601317547666,5.899539038354059,2.2965855501669576,0.006121824303642486,0.0,0.0,0.0,9.429515559752288,1.2234141422595712e-05,1.3486991292666062e-06,12.0,3.5710317862302956,8.44,2.293182285484363e-05,1.3486991292666062e-06,28.0,4.704081907974457,13.92,1.1651355748654169e-05,9.5367431640625e-07,17.0,3.9556503772162914,7.06,0.038598883010069945,0.053740603747638935,0.47705046368219567,-0.2068615643727627,-0.46100051410583026,0.6795446229939663,0.1945811576574344,0.00835162290425909,0.02371871220627031,2.646773942392929,0.07121021428471064,0.07935606759002134,0.08800552887115298,0.14442865542618644,0.19809613228347667,0.0031824404076458905,0.00439272376971448,4.358823179696071,0.94626879941778,0.9456174825735586,0.0,3.4534133524207884,-0.3879746066886238,0.07526214802829567,1.0,1.5255418035883719,0.7058673155765401,0.0432570182586239,2.2759877039718783,8.008242954451187e-10,4369.0,0.14036947791164658,0.30584704692609765,0.31363084490258436,0.04343413725556695,1.0,1.0,34.952,5.618335696627605,0.03984044669138434,2.6836557262874265,0.24423735698862778,15525.0,0.509105756358646,2.5818024536623327,0.6716340884165949,0.5285733772320486,0.5389980049676012,0.5616811953311394,0.6956137830784596
1,CausalLayered,0.8931763297145437,0.7537240023611079,0.8934239155012393,0.6785175415507448,0.04,-0.07387636311583802,1.8170605381418583,-0.01475082343075363,0.8931763297145437,0.7537240023611079,0.8934239155012393,0.6785175415507448,0.04,-0.07387636311583802,1.8170605381418583,-0.01475082343075363,6.633712721534892,2.370378511688302,0.006223854708703193,0.2608695652173913,2.0,-0.0,10.503018434771125,2.86102294921875e-06,9.5367431640625e-07,3.0,1.584962500721156,3.1,1.1280467106189462e-05,9.5367431640625e-07,13.0,3.653242068228521,8.26,9.113644523495168e-06,9.5367431640625e-07,16.0,3.862720451828407,6.58,0.0407712691890567,0.04258008945240992,0.44139121204412357,-0.15920580223881586,-0.47278792858906565,0.6302247297212114,0.1873497327245599,0.006913319371324229,0.023339683405925182,2.7764157955791045,0.07207288972508752,0.07738843546409813,0.0870071993229109,0.16923245698631817,0.1737070685310047,-0.002021481166877804,0.0043464484417128045,4.3070294795426385,0.9576667912071966,0.9451502057402927,0.0,3.1658272281270956,-0.337984883260303,0.05711689074907511,1.0,1.5401851413561203,0.7348756186038649,0.03514546887816374,2.1791605820110282,2.746713967005908e-10,11017.0,0.3539598393574297,0.43898969808392035,0.4789872358302467,0.09858658956361296,1.0,1.0,88.136,21.284677681374458,-0.36092019396325836,1.3039718480627867,0.024182104573753995,148760.0,0.6301258366801115,16.329789003771637,1.1495742971880156,0.7214926761620722,0.7133728852703004,0.7153919188917207,1.1374965807903583
2,CausalLayered,0.8590725221144673,0.7167621774989471,0.878949256297053,0.6068939130796797,0.04,0.0817748109841268,1.935335727494834,-0.03648288585850582,0.8590725221144673,0.7167621774989471,0.878949256297053,0.6068939130796797,0.04,0.0817748109841268,1.935335727494834,-0.03648288585850582,6.415990363814238,2.278868056588756,0.006325885113763902,0.0,0.0,0.0,9.577481267112923,1.1583580317164888e-05,1.6518123402420315e-06,11.0,3.4312173820139895,8.02,2.5561445681887562e-05,1.3486991292666062e-06,28.0,4.743745147272055,15.52,8.231683295889525e-06,9.5367431640625e-07,14.0,3.658668362242391,4.98,0.041906207744970225,0.052545437940777116,0.546912242029804,-0.42643385199990336,-0.3555823979094092,0.6978821001078985,0.18858556907282706,0.00764510427830957,0.028316635742573038,2.673384819903705,0.06532445368191353,0.08497868327305591,0.08901033362486355,0.1469009140100328,0.1832252048544052,-0.010085401679448146,0.004327970691690432,4.385389158538985,0.9980387824503102,0.9356041794515608,0.0,3.4708747092769454,-0.4197149151513899,0.08808030504499308,1.0,1.5151598412553098,0.6885464003429292,0.048501672402861205,2.2817344420233083,1.0655765158561077e-10,6964.0,0.2237429718875502,0.2448835999130267,0.26968645299434413,0.06453876540633277,1.0,1.0,55.712,15.048357252537567,-0.2836457099307171,1.5013183243087433,-0.02899645908733233,33412.0,0.5650174029450873,10.77361251046733,0.6687971555880968,0.39326757845808863,0.3963275812553424,0.38028458423479483,0.6353396304071186
3,CausalLayered,0.8515350204655178,0.6833880738056132,0.8870368474079372,0.6668482778042776,0.04,0.06904207588769484,1.8500372364094277,-0.009273320479297192,0.8515350204655178,0.6833880738056132,0.8870368474079372,0.6668482778042776,0.04,0.06904207588769484,1.8500372364094277,-0.009273320479297192,6.439645365167959,2.273835426773479,0.006070809101112132,0.3,2.0,-0.0,8.93627347248296,1.6838888313941425e-05,1.3486991292666062e-06,16.0,3.9819678111360655,11.24,2.8326619371910056e-05,1.3486991292666062e-06,34.0,4.991780029156967,17.2,3.882472697114281e-06,9.5367431640625e-07,7.0,2.672282510808919,2.36,0.036992268167670636,0.039784350116972476,0.4224835772384132,-0.6833083316871384,-0.315601566214403,0.5504944629943154,0.20173371798968526,0.007811875202522053,0.02574624911083534,2.641849011038948,0.06432532514964961,0.09007157426048495,0.094767538785276,0.1904472920287359,0.20395898079936492,-0.001566209123525129,0.004229056772498367,4.18919468568181,0.9405736193304419,0.9330427797633009,0.0,3.297274187015702,-0.4233861791001639,0.08962792812525693,1.0,1.5139050818346678,0.686595655066562,0.04911114156259861,2.223940484932893,-4.753606398530584e-10,6510.0,0.2091566265060241,0.5028521398468571,0.514692886564,0.06827553361821774,1.0,1.0,52.08,5.939158189508005,-0.1425623814398895,2.615865917789486,0.35470811661932056,56477.0,0.5495796519410295,3.3235136256436295,1.1200083558457474,0.8963177215300107,0.8980720512133928,0.8786868313662909,1.145523905684558
4,CausalLayered,0.8658610696823892,0.6948863949529566,0.876650407609332,0.6607797220919778,0.04,0.03803424306016635,2.0812395628810747,-0.00456083245917255,0.8658610696823892,0.6948863949529566,0.876650407609332,0.6607797220919778,0.04,0.03803424306016635,2.0812395628810747,-0.00456083245917255,7.198061939437868,2.3006830417522854,0.0064789307213549635,0.2857142857142857,2.0,-0.0,9.999810872843659,1.0326792789783212e-05,1.3486991292666062e-06,10.0,3.306149859609279,7.28,1.2836430187235237e-05,9.5367431640625e-07,20.0,4.180956200754795,7.78,1.7628937939662137e-05,1.3486991292666062e-06,21.0,4.31251591208383,10.72,0.01871217352177122,0.047705411210663164,0.6201825459167927,-0.17251836364372553,-0.40064707671835104,0.6374484266252572,0.18677370790936082,0.005876749239725604,0.01583236175738878,2.8177142202240186,0.06420978979777003,0.08544575105320518,0.09455127254322515,0.18153098297655745,0.19409932576770816,-0.0009661620399578297,0.004506876478313339,4.462731847926788,0.9605004394728737,0.9566624751037915,0.0,3.2209846909955426,-0.2850672736898718,0.04063167519155094,1.0,1.5533939882536587,0.7680477318252336,0.026900927296362172,2.1980621093347916,-2.5585955579719145e-10,10798.0,0.34692369477911644,0.6150719675353497,0.6363467233080375,0.07243518795715673,1.0,1.0,86.384,13.938025111184151,-0.2316155369788922,1.5769324568924277,0.37577454168614693,194006.0,0.6266077643909467,10.077900714703077,1.3816019051112385,1.0766651250175563,1.0758045420379863,1.083246860057685,1.4006128008559102
5,CausalLayered,0.8606138673729254,0.7139663503483484,0.8765616574000831,0.6044152513677632,0.04,0.08092279596084227,2.0565368369511803,-0.01976627668180149,0.8606138673729254,0.7139663503483484,0.8765616574000831,0.6044152513677632,0.04,0.08092279596084227,2.0565368369511803,-0.01976627668180149,6.567851292771118,2.190393986126001,0.006274869911233548,0.16666666666666666,2.0,-0.0,8.362213776854514,1.5398277582789888e-05,1.6518123402420315e-06,15.0,3.8843232066439017,10.34,2.03022000277997e-05,1.3486991292666062e-06,28.0,4.6756191014743615,12.32,1.1256330935793812e-05,9.5367431640625e-07,16.0,3.8733658625096385,6.82,0.04522436369095679,0.0371829810175192,0.32374782535447094,-0.594110992857662,-0.31438972952039645,0.49329129509789904,0.18506357587388772,0.0069893997593713005,0.0241577531737458,2.652045618801081,0.06477195533914637,0.07334153381862274,0.09120386146672899,0.16051098420828036,0.18360865133573312,-0.0002018442437764597,0.004004275337313003,3.964272917627631,0.9224866719160475,0.9176130359778224,0.0,3.2784773572267407,-0.3465327131024911,0.060042460385916256,1.0,1.5378300734432773,0.7297600113679779,0.0365148255414031,2.2175923962351853,-6.90181467771255e-10,10529.0,0.33828112449799197,0.5591980367643654,0.5823699814468987,0.07121617937835424,1.0,1.0,84.232,15.677824338855185,-0.27067143755755935,1.5165310627381754,0.27712659379189936,169078.0,0.6222864792503808,11.467381667034886,1.269065773693614,0.9626132420982375,0.9720849859494994,0.9853788726632042,1.297628940064432
6,CausalLayered,0.8490332139613191,0.7392090452593642,0.8881485477640462,0.6767580102219033,0.04,-0.043987238430896074,1.7967990466286516,0.03116656493484241,0.8490332139613191,0.7392090452593642,0.8881485477640462,0.6767580102219033,0.04,-0.043987238430896074,1.7967990466286516,0.03116656493484241,5.683953493785668,2.219119838823808,0.005968778696051423,0.0,0.0,0.0,9.50269091515207,9.117582180806494e-06,1.6518123402420315e-06,8.0,2.9655877606579883,5.76,2.0884985701741243e-05,1.3486991292666062e-06,25.0,4.56484018478293,10.9,5.394796517066425e-06,9.5367431640625e-07,9.0,3.045433620820323,2.78,0.0377775426561881,0.04824292892592103,0.4847720412392191,-0.6018476678898477,-0.325948747948568,0.5720546822640487,0.2107711049914812,0.009160659542598685,0.029904375281450624,2.7148868232742798,0.07900742295364016,0.0862802486140799,0.09381620830874904,0.18906208987616369,0.19394322313408852,-0.0065315570539225655,0.004411844378529142,4.40996055991701,0.9917282720550217,0.9526762677920255,0.0,3.1401563995031356,-0.3962702220051135,0.07851504422328627,1.0,1.5229092893084846,0.7012604395666822,0.04462266233263907,2.1703074895633345,-5.064844100960744e-10,9875.0,0.3172690763052209,0.25072746134966223,0.2859051754931935,0.08459929669193914,1.0,1.0,79.0,21.852414054287,-0.3840684611685976,1.2651850375162603,-0.12580531683319263,69363.0,0.6117804551539855,16.669837680618798,0.7081664140172523,0.36821727416870415,0.36725787897122,0.3748744688361827,0.7245357189385754
7,CausalLayered,0.8460804868008817,0.723206062658006,0.8666943993557709,0.6503293168109796,0.03,0.10209553384491589,1.9472782962061366,-0.04747819939452843,0.8460804868008817,0.723206062658006,0.8666943993557709,0.6503293168109796,0.03,0.10209553384491589,1.9472782962061366,-0.04747819939452843,5.8138745854940925,2.175276732416325,0.006223854708703193,0.17391304347826086,2.0,-0.0,10.672952663692888,1.9931311385334993e-05,2.6973982585332124e-06,15.0,3.742556297592517,8.4,1.562574004765338e-05,1.3486991292666062e-06,22.0,4.301570422451034,5.78,4.72009924123995e-06,1.3486991292666062e-06,10.0,3.1216799445846446,1.72,0.019431567278988093,0.051571445822741084,0.7438587942419336,-0.012200909071380828,-0.3998111590268691,0.719417881728053,0.18760585120276285,0.005904604797273613,0.023204827255840055,2.839625687931096,0.06376916859814497,0.08697399585398502,0.10278752982442851,0.18046128622307167,0.19368140500427034,0.008356994674897722,0.004703967130699754,4.726068425789062,0.9999955396102257,0.999976781505883,0.0,3.4854074203010534,-0.49314373681719975,0.12159537252017216,1.0,1.487969021518846,0.651499748992978,0.060726212432981035,2.286506315419133,-1.2337908473420485e-10,8833.0,0.2837911646586345,0.16749184699820957,0.1954519816074526,0.07075586775226739,1.0,1.0,70.664,20.194432500072885,-0.34505977813434435,1.3015116913427223,-0.20117326361737317,37201.0,0.5950361445783287,15.422115666835003,0.4970107815332357,0.2229577559213511,0.21068458988890712,0.2344287525964073,0.5067819361346249
8,CausalLayered,0.8833610325476111,0.7479539797744454,0.9028210495674038,0.7428782171271482,0.03,0.12077211204617903,1.7373860901138294,-0.014251975730063749,0.8833610325476111,0.7479539797744454,0.9028210495674038,0.7428782171271482,0.03,0.12077211204617903,1.7373860901138294,-0.014251975730063749,5.8841166770112805,2.3324863837630456,0.005968778696051423,0.3333333333333333,2.0,-0.0,8.979995288048396,2.2397309521693387e-05,1.3486991292666062e-06,21.0,4.373033927554543,12.7,9.86005488812225e-06,1.3486991292666062e-06,11.0,3.315975946789971,5.12,1.3443352031572431e-05,9.5367431640625e-07,17.0,3.997521773595262,7.0,0.038211477982216746,0.047690850943065424,0.25623643732502205,-0.7918221882320324,-0.39508231154002127,0.5436024292560051,0.19085115954831786,0.008136738965152924,0.020683745067627046,2.6295294876219897,0.06850759962087438,0.07889725218111288,0.08793179305607435,0.14184703390448328,0.1733753553751034,0.008639222336168846,0.004468814149861843,4.498015809311246,0.9610948178225873,0.9597322637137008,0.0,3.2854386487114433,-0.35636943128653287,0.06349958570116744,1.0,1.5350437974786708,0.7239536471808102,0.03810079439307197,2.2199454887602905,-2.1487811532416222e-10,4965.0,0.15951807228915663,0.26377112333445857,0.2754812099119624,0.041335695985218836,1.0,1.0,39.72,8.574940233027867,-0.07210202086844746,2.194712471228821,0.1730229171082816,17711.0,0.5323373493975105,5.248269608107222,0.5993312998407617,0.44680952326102996,0.4558073096837989,0.46381884509285604,0.6301651212411775
9,CausalLayered,0.8632044284749695,0.7085260395441247,0.8752411516344228,0.6663234039422096,0.04,0.06590440605756111,1.782843803222735,0.01663288951572894,0.8632044284749695,0.7085260395441247,0.8752411516344228,0.6663234039422096,0.04,0.06590440605756111,1.782843803222735,0.01663288951572894,6.523822822492342,2.1753608414737333,0.006070809101112132,0.1,2.0,-0.0,10.367191338638,1.6116614119709993e-05,1.9073486328125e-06,13.0,3.667668275191011,9.38,1.930488645029982e-05,1.3486991292666062e-06,22.0,4.404778645293094,10.08,8.487219588459993e-06,9.5367431640625e-07,13.0,3.568001154313413,4.4,-0.001129332771635012,0.04804037229001941,0.6488807502064579,-0.24899087754610028,-0.3676242621263349,0.60090130137828,0.21481229360467272,0.008561316450161397,0.016628247835380083,2.9755145829058436,0.08731389737960393,0.09968382673248977,0.10486668749917682,0.19524152751673607,0.20345824511585797,-0.003097392648050398,0.004772954554733176,4.734722911989881,0.9942073045074119,0.9725741547384491,0.0,3.1728621490325253,-0.40701018381874876,0.08282864456912038,1.0,1.5194159342544378,0.6953806436753487,0.046396475901564066,2.1815804416864366,-7.296265816411643e-10,5780.0,0.18570281124497992,0.3291076927632358,0.33976821704462157,0.04274722397703077,1.0,1.0,46.24,8.337289727483386,0.06788052459536408,2.2905848000379705,0.2647614495295139,29639.0,0.5453761713520172,5.250630072921766,0.7528651235025704,0.5707345574589758,0.5828934087105322,0.5709149641547371,0.7353141166194006
