config_id,v0,c_sound,has_horizon,hawking_temperature
0,2.1933248144202677,1.5,1,0.1390537670007138
1,1.6223310805300684,1.5,1,0.028212026754531588
2,1.4097508048115057,1.5,0,0.0
3,1.2043498273839235,1.5,0,0.0
4,1.6717027682696746,1.5,1,0.038278405993266845
5,1.5714994885461515,1.5,1,0.017037179995742984
6,2.154912553558692,1.5,1,0.13194243161430433
7,1.0290843974440689,1.5,0,0.0
8,1.4567581226774315,1.5,0,0.0
9,1.1955700456914438,1.5,0,0.0
10,0.7689566446179474,1.5,0,0.0
11,1.0199547006861183,1.5,0,0.0
