baseline,mean_metric,mean_time_s,mean_acc_per_sec,status_ok_pct,win_rate_real,win_rate_total
AI_Feynman,,,,0.0,1.0,0.6666666666666666
OUR_PIPELINE_EV3,471.88340400717544,42.64192630001344,0.023451098174232455,1.0,1.0,0.6666666666666666
OUR_PIPELINE_SINDy,,0.0018609999679028988,0.0,0.0,1.0,0.6666666666666666
OUR_PIPELINE_TOPO,,7.00005330145359e-06,,0.0,1.0,0.6666666666666666
PySINDy,,,,0.0,1.0,0.6666666666666666
Ripser,297.0,0.02389539999421686,,1.0,1.0,0.6666666666666666
sklearn_RF,0.993127147766323,0.14968589995987713,6.634740800787034,1.0,1.0,0.6666666666666666
