Step,Day,Avg_Temp_Std,Max_Temp_Std,Avg_Temp_Coop,Max_Temp_Coop,RMSE_Std,RMSE_Coop,Tasks_Offloaded
0,0.0,-16.389817161432795,13.520537648465277,-16.389817161432795,13.520537648465277,1.5256041020785802,1.3131148211351724,0
5,0.3125,4.653231853663612,116.17653976476933,2.1208250236638704,62.67593170000259,1.6418624053652375,1.4411540103704983,5
10,0.625,-11.075445471125667,69.2272302522233,-16.475445471125667,15.227230252223286,1.7567965871569242,1.3430641091577051,11
15,0.9375,-12.011348447050757,59.88651552949243,-17.411348447050756,5.886515529492431,1.8905577141110625,1.465857690522943,17
20,1.25,-20.0,-20.0,-20.0,-20.0,2.0195133247265087,1.353203976288547,23
25,1.5625,-6.780014119557384,112.19985880442616,-12.180014119557383,58.19985880442617,2.1558975600397416,1.474545046525677,30
30,1.875,-6.5318557123585155,114.68144287641485,-11.931855712358514,60.68144287641486,2.2718569444494947,1.36332193869065,36
35,2.1875,4.898017809013497,116.17653976476933,1.1222576761018437,62.176539764769316,2.3845309084337973,1.486277846535402,43
40,2.5,4.241261648874669,116.67593170000256,1.6696452230181251,62.67593170000259,2.512696147092963,1.3711955339758544,49
45,2.8125,4.653231853663627,116.17653976476933,2.120825023663886,62.67593170000259,2.6289597046672344,1.4852668840301388,55
50,3.125,-11.075445471125672,69.2272302522233,-16.475445471125674,15.227230252223286,2.754066781037782,1.3653402368941712,61
55,3.4375,-12.011348447050773,59.88651552949227,-17.411348447050774,5.886515529492279,2.8907132327944636,1.4849443691528932,67
60,3.75,-20.0,-20.0,-20.0,-20.0,3.0237905418599222,1.3688174537941193,73
65,4.0625,-6.78001411955739,112.1998588044261,-12.180014119557391,58.199858804426086,3.1479705730913765,1.487585343431924,80
70,4.375,-6.5318557123585155,114.68144287641485,-11.931855712358514,60.68144287641486,3.275651957084759,1.3668781499626157,86
75,4.6875,4.8980178090135,116.17653976476933,1.1222576761018828,62.176539764769316,3.4049907197728744,1.4956568662351455,93
80,5.0,4.241261648874707,116.67593170000256,1.6696452230181535,62.67593170000259,3.5221461333150588,1.3739183578949858,99
85,5.3125,4.653231853663601,116.17653976476942,2.120825023663858,62.67593170000259,3.6558692184309494,1.4931639342884848,105
90,5.625,-11.075445471125615,69.22723025222375,-16.475445471125617,15.227230252223748,3.7752677928484992,1.368268541783451,111
95,5.9375,-12.011348447050764,59.88651552949236,-17.411348447050763,5.886515529492353,3.8993351724056864,1.505622225730798,117
100,6.25,-20.0,-20.0,-20.0,-20.0,4.0144575999245395,1.3788573955196106,123
105,6.5625,-6.780014119557379,112.19985880442621,-12.18001411955738,58.1998588044262,4.1406103671693675,1.5077606471256693,130
110,6.875,-6.531855712358518,114.68144287641482,-11.931855712358518,60.68144287641482,4.2777280668011874,1.3790452225347714,136
115,7.1875,4.898017809013446,116.17653976476933,1.1222576761016065,62.176539764769316,4.397188809297188,1.4996209882003348,143
120,7.5,4.241261648874715,116.67593170000256,1.6696452230180512,62.67593170000259,4.521184084953392,1.370041788524246,149
125,7.8125,4.653231853663726,116.17653976476942,2.12082502366398,62.67593170000259,4.652054069984532,1.501640280286733,155
130,8.125,-11.0754454711256,69.22723025222383,-16.475445471125603,15.227230252223826,4.767963595923074,1.3756922176844504,161
135,8.4375,-12.011348447050757,59.88651552949243,-17.411348447050756,5.886515529492431,4.886372513813826,1.5024892852987013,167
140,8.75,-20.0,-20.0,-20.0,-20.0,5.018908517528398,1.375334401118245,173
145,9.0625,-6.780014119557407,112.19985880442593,-12.180014119557406,58.19985880442594,5.1430561366310625,1.49705869909555,180
150,9.375,-6.531855712358518,114.68144287641482,-11.931855712358518,60.68144287641482,5.2791455992384915,1.3751999940018904,186
155,9.6875,4.898017809013508,116.17653976476933,1.1222576761017435,62.176539764769316,5.400848363745197,1.4945657493552216,193
160,10.0,4.241261648874655,116.67593170000256,1.6696452230181933,62.67593170000259,5.5271131031319936,1.371914372074062,199
165,10.3125,4.653231853663821,116.17653976476947,2.12082502366408,62.67593170000259,5.642692441474026,1.493711542751668,205
170,10.625,-11.07544547112555,69.2272302522231,-16.47544547112555,15.227230252223094,5.764324921185986,1.3740179759874656,211
175,10.9375,-12.011348447050574,59.88651552949426,-17.411348447050575,5.886515529494275,5.89468698952623,1.5117943523553947,217
180,11.25,-20.0,-20.0,-20.0,-20.0,6.015353767500695,1.379036756597511,223
185,11.5625,-6.78001411955741,112.1998588044259,-12.18001411955741,58.1998588044259,6.140170799718883,1.496035007074049,230
190,11.875,-6.531855712358501,114.68144287641499,-11.931855712358502,60.68144287641498,6.259660736962226,1.3755598421645812,236
195,12.1875,4.8980178090135045,116.17653976476922,1.1222576761017407,62.176539764769245,6.384392309944228,1.5040716921777446,243
200,12.5,4.241261648874593,116.67593170000256,1.6696452230180028,62.67593170000259,6.5031185019870295,1.3712343097812074,249
205,12.8125,4.653231853663826,116.17653976476933,2.120825023664082,62.67593170000259,6.627746075024066,1.4988527071616446,255
210,13.125,-11.075445471125764,69.22723025222314,-16.475445471125763,15.22723025222313,6.746732710480704,1.3734414139363254,261
215,13.4375,-12.011348447050654,59.886515529493465,-17.411348447050653,5.886515529493465,6.87900453891838,1.4920353587496131,267
220,13.75,-20.0,-20.0,-20.0,-20.0,7.003248140482633,1.36223822677264,273
225,14.0625,-6.7800141195573875,112.19985880442613,-12.180014119557388,58.19985880442613,7.126202307577188,1.4877901927818378,280
230,14.375,-6.5318557123585235,114.68144287641476,-11.931855712358521,60.68144287641479,7.261075352093357,1.3656581471115963,286
235,14.6875,4.898017809013512,116.17653976476922,1.1222576761018601,62.176539764769245,7.393474352610784,1.4969263528010686,293
240,15.0,4.241261648874729,116.67593170000256,1.6696452230177328,62.67593170000259,7.51184914573606,1.3702839363835622,299
245,15.3125,4.653231853663667,116.17653976476942,2.1208250236639232,62.67593170000259,7.62820388437231,1.488762249162685,305
250,15.625,-11.075445471125548,69.22723025222405,-16.475445471125546,15.227230252224054,7.7671057888747566,1.366431502985747,311
255,15.9375,-12.011348447050647,59.886515529493536,-17.411348447050646,5.886515529493543,7.888931088787773,1.4884661356093027,317
260,16.25,-20.0,-20.0,-20.0,-20.0,8.020998423702256,1.3667965536025721,323
