timestamp,node_id,true_temperature,estimated_temperature,residual,variance_P
0.0,CPU,20.0,20.0,0.0,1.0
0.0,Battery,20.0,20.0,0.0,1.0
0.0,Payload,20.0,20.0,0.0,1.0
0.0,Structure,20.0,20.0,0.0,1.0
0.0,Radiator,19.999999999999943,20.0,-5.684341886080802e-14,1.0
0.0,Paneles,20.0,20.0,0.0,1.0
5.0,CPU,20.28503789047994,20.22761552130828,0.0574223691716611,0.19668452502928457
5.0,Battery,20.01344443154767,19.346325802915146,0.6671186286325224,0.1998337748848542
5.0,Payload,20.074928784765063,19.941337447519345,0.13359133724571848,0.19797532366387574
5.0,Structure,19.96199948568085,19.656499415997757,0.3055000696830916,0.19591050359602113
5.0,Radiator,18.77069592539476,18.527319545491196,0.24337637990356598,0.18377285998457463
5.0,Paneles,23.481296232265322,23.38330783651918,0.09798839574614249,0.19968611760728705
10.0,CPU,20.556863247323577,20.666350979747563,-0.10948773242398602,0.10134908536580516
10.0,Battery,20.026722666284513,19.90878744425237,0.11793522203214479,0.12023669983574506
10.0,Payload,20.14678317992815,20.232666335817044,-0.08588315588889373,0.10385350184892043
10.0,Structure,19.906911270987223,19.711953770941193,0.19495750004602996,0.10306025733838424
10.0,Radiator,17.726897253765742,17.666511731849766,0.06038552191597546,0.08457243809814922
10.0,Paneles,26.945546355388785,24.88090273706416,2.0646436183246237,0.41884621355058527
15.0,CPU,20.815410210134814,21.118123610216458,-0.30271340008164316,0.06683076971631731
15.0,Battery,20.03980486956118,19.93247749802856,0.10732737153261951,0.10458596353426908
15.0,Payload,20.21528243043963,20.664122797510117,-0.44884036707048836,0.07057709866296726
15.0,Structure,19.838505118530975,19.709533479110235,0.1289716394207403,0.06813757659903813
15.0,Radiator,16.837835371565575,16.697172566874485,0.1406628046910896,0.051200500012967685
15.0,Paneles,30.39238837401939,27.626455964805928,2.7659324092134625,0.5816143262224313
20.0,CPU,21.060767056991324,21.24612338332281,-0.1853563263314868,0.051299210431453225
20.0,Battery,20.052668662165104,20.10314476019073,-0.05047609802562647,0.09446252196233351
