Tick,Hour,In_Eclipse,CPU_Time_ms,CPU_Utilization_Pct,RAM_Used_KB,Watchdog_Resets
0,0.0,1,10.661595981384593,0.10661595981384592,320.0,0
10,0.027777777777777776,1,8.328244513765146,0.08328244513765146,320.0,0
20,0.05555555555555555,1,8.469002270989265,0.08469002270989263,320.0,0
30,0.08333333333333333,1,17.03074733910391,0.1703074733910391,320.0,0
40,0.1111111111111111,1,8.040469151110397,0.08040469151110397,320.0,0
50,0.1388888888888889,1,8.463869717572429,0.0846386971757243,320.0,0
60,0.16666666666666666,1,22.963775814754893,0.22963775814754894,320.0,0
70,0.19444444444444445,1,8.248423154640076,0.08248423154640076,320.0,0
80,0.2222222222222222,1,8.775148608792682,0.08775148608792682,320.0,0
90,0.25,1,10.02143748662583,0.1002143748662583,320.0,0
100,0.2777777777777778,1,7.595157395077667,0.07595157395077666,320.0,0
110,0.3055555555555556,1,8.464487199688449,0.08464487199688449,320.0,0
120,0.3333333333333333,1,9.7086587078723,0.09708658707872299,320.0,0
130,0.3611111111111111,1,15.359933071408957,0.15359933071408957,320.0,0
140,0.3888888888888889,1,8.433036115019076,0.08433036115019076,320.0,0
150,0.4166666666666667,1,10.34354105721101,0.10343541057211009,320.0,0
160,0.4444444444444444,1,8.579056431212038,0.08579056431212038,320.0,0
170,0.4722222222222222,1,8.350242991561517,0.08350242991561517,320.0,0
180,0.5,1,10.736221288353425,0.10736221288353426,320.0,0
190,0.5277777777777778,1,8.94385236471334,0.0894385236471334,320.0,0
200,0.5555555555555556,1,7.9825609240742255,0.07982560924074225,320.0,0
210,0.5833333333333334,0,7.561036902293749,0.0756103690229375,320.0,0
220,0.6111111111111112,0,6.867001323250652,0.06867001323250653,320.0,0
230,0.6388888888888888,0,6.582729014823507,0.06582729014823507,320.0,0
240,0.6666666666666666,0,8.016116955738871,0.08016116955738871,320.0,0
250,0.6944444444444444,0,6.294056951904976,0.06294056951904976,320.0,0
260,0.7222222222222222,0,6.611435109848893,0.06611435109848893,320.0,0
270,0.75,0,7.585879360361816,0.07585879360361816,320.0,0
280,0.7777777777777778,0,6.307287403822475,0.06307287403822474,320.0,0
290,0.8055555555555556,0,6.586425640710921,0.06586425640710922,320.0,0
300,0.8333333333333334,0,7.622989023838554,0.07622989023838554,320.0,0
310,0.8611111111111112,0,6.521837275510498,0.06521837275510498,320.0,0
320,0.8888888888888888,0,58.500605750246194,0.5850060575024619,320.0,1
330,0.9166666666666666,0,7.818311158669816,0.07818311158669816,320.0,1
340,0.9444444444444444,0,6.739983860135858,0.06739983860135858,320.0,1
