time,T_measured,T_predicted_60s,error,action_taken,power_W,estimated_C,estimated_eps
0,20.248357076505616,24.924506672676216,-0.20605748586944728,NOMINAL,30.0,319.8024319418912,0.5491570429520691
5,20.651100307620975,25.238131355009216,-0.24284099871978881,NOMINAL,30.0,319.5644456853508,0.5481422618372642
10,21.72689894392429,25.53764962557682,0.40762143403069473,NOMINAL,30.0,319.97235375781065,0.5498803007314804
15,22.811818155384746,25.822977014116645,1.0815495619373827,NOMINAL,30.0,321.07412218570806,0.5545807732270853
20,22.546782598577785,26.109657524610498,0.4199596476333127,NOMINAL,30.0,321.50824496893637,0.55643924778103
25,23.12855068008169,26.38873925000928,0.617992163418382,NOMINAL,30.0,322.15728036578037,0.5592215175325238
30,24.587077302913656,26.650641477102113,1.7051066116803213,NOMINAL,30.0,323.97391785428897,0.5670247574353032
35,24.70499326738957,26.91006718823519,1.4644629509293736,NOMINAL,30.0,325.5497343197234,0.5738317365569846
40,24.584117496454734,27.169951502498407,0.9967750345441679,NOMINAL,30.0,326.63303765030696,0.5785339913764398
45,25.56325602764567,27.419026178155946,1.6395630106020107,NOMINAL,30.0,328.4343435942759,0.5863788718059882
50,25.51063993063335,27.668144314701124,1.2610577654388955,NOMINAL,30.0,329.8309754247085,0.5924948965856016
55,25.938751438029385,27.91271741568255,1.3726207250941798,NOMINAL,30.0,331.3644872533896,0.5992388926159912
60,26.702333525993172,28.14952179265572,1.8284562417289045,NOMINAL,30.0,333.42328343973077,0.6083350518512736
65,26.016418691680094,28.39313900127553,0.8434209006265476,NOMINAL,30.0,334.37844015146527,0.6125813383449537
70,26.485705317360267,28.632733859112818,1.0206186950547895,NOMINAL,30.0,335.54434113477066,0.6177793670405366
75,27.426880139290567,28.863760109428767,1.6763826110758302,NOMINAL,30.0,337.4740869682213,0.6264129042971067
80,27.54750467097871,29.094091926207852,1.5183797043412852,NOMINAL,30.0,339.2307594031108,0.6343173233113277
85,28.544187589920895,29.315561089823007,2.2425445367614856,NOMINAL,30.0,341.8388338908354,0.6461138444986704
90,28.254583574022888,29.540191741120452,1.6866958199922237,NOMINAL,30.0,343.8051967252168,0.6550762335428196
95,28.31343597388264,29.765080026494047,1.4845868597186112,NOMINAL,30.0,345.5429434449716,0.6630421849140719
100,30.05387161341927,29.974968742855935,2.96874105550652,NOMINAL,30.0,349.0334823464194,0.6791239327302778
105,29.50102890670811,30.190235336998512,2.1651499097369786,NOMINAL,30.0,351.5770610689385,0.6909611879188524
110,29.932843759636835,30.402465574055498,2.3506360277772096,NOMINAL,30.0,354.3432710296944,0.7039283341628813
115,29.46498502914655,30.619569890369462,1.6406471805562042,NOMINAL,30.0,356.27571585824205,0.7130583184513078
120,30.177332586216234,30.831676239604292,2.1141596942018985,NOMINAL,30.0,358.77364203081856,0.7249243242552511
125,30.771750994414457,31.039687618750236,2.4731139118740764,NOMINAL,30.0,361.6996827786738,0.7389214748664323
130,30.40282485582352,31.25169715914427,1.8720733538930538,NOMINAL,30.0,363.9147106953277,0.749603806797094
135,31.424086361318743,31.456355070853988,2.663842131695773,NOMINAL,30.0,367.07256944815254,0.7649263568564401
140,31.190289880292315,31.66380367887274,2.2035140451506017,NOMINAL,30.0,369.68265692100806,0.7777009103917134
145,31.596120088716514,31.869032625034606,2.385195010290186,NOMINAL,30.0,372.5096932224937,0.791635660940318
150,31.689946640261073,32.07453611151993,2.2571724150810475,NOMINAL,30.0,375.18485231053,0.804922630156395
155,33.1636986203846,32.26939281486284,3.511088195951693,NOMINAL,30.0,379.34731768456686,0.8257452162444711
160,32.4759126321417,32.47021423622414,2.6061462957581796,NOMINAL,30.0,382.4254328021802,0.8413142124230167
165,32.19763146050507,32.674136672789245,2.1125794661147594,NOMINAL,30.0,384.91835263551746,0.8540256250390855
170,33.380659167880395,32.87016299125304,3.081719301589345,NOMINAL,30.0,388.5570266749985,0.8727001905998143
175,32.601259160439724,33.072829343777585,2.090326246659913,NOMINAL,30.0,391.01912874115544,0.885455751375765
180,33.55809399428049,33.26949873470079,2.8362956940349378,NOMINAL,30.0,394.361782507706,0.9028829722221643
185,32.71576154700043,33.47326049423265,1.784591078159771,NOMINAL,30.0,396.4613580740067,0.9139228703933107
190,33.27363292501852,33.6742379544894,2.133829146842544,NOMINAL,30.0,398.97536175591506,0.9272122745790765
195,34.27869959439048,33.86900271067117,2.9311431329796633,NOMINAL,30.0,402.42986735946295,0.9455891095505878
200,34.79265625098426,34.060828776308426,3.238631702708311,NOMINAL,30.0,406.23892351577956,0.9660274824006044
205,34.753049229609466,34.254268234252606,2.993931908782308,NOMINAL,30.0,409.74983652426283,0.98
210,34.85442964466202,34.44970427876814,2.891364417767221,NOMINAL,30.0,413.1330057622453,0.98
215,35.007678118719355,34.64528552741393,2.8416775400912684,NOMINAL,30.0,416.451745736683,0.98
220,34.66615721991718,34.84403529071187,2.2981329678122506,NOMINAL,30.0,419.1310245870498,0.98
225,35.2940057924213,35.04032596009972,2.7244948459762384,NOMINAL,30.0,422.3067188033268,0.98
230,35.67353481882959,35.23555593653697,2.903248288909488,NOMINAL,30.0,425.6860260955951,0.98
235,36.68384025884809,35.42603738712779,3.7135140160591646,NOMINAL,30.0,430.0003244673184,0.98
240,36.58008161547458,35.61808231627248,3.4108071992028073,NOMINAL,30.0,433.9468563720851,0.98
245,35.781372466186916,35.81570415188827,2.4139844137528925,NOMINAL,30.0,436.7311266175119,0.98
250,37.0812291499916,36.00731601275925,3.515964291458772,NOMINAL,30.0,440.78445366990155,0.98
255,36.9846532009828,36.20049522537204,3.2222585598709728,NOMINAL,30.0,444.48664294500935,0.98
260,37.09848200787352,36.39415272780383,3.1394781205254176,NOMINAL,30.0,448.0845086421465,0.98
265,38.004291856704995,36.584015143893794,3.8490926666632532,NOMINAL,30.0,452.48545949612276,0.98
