test_index,nearest_train_index,cosine_similarity,is_leakage
0,41,0.8563359073270008,False
1,72,0.9562644716047196,True
2,44,0.8840642283541407,False
3,30,0.8664745311764872,False
4,23,0.9475545005028829,False
5,3,0.8358415738079549,False
6,49,0.809565894991906,False
7,8,0.8114095312705685,False
8,41,0.9218657297611172,False
9,49,0.8834725251594974,False
10,73,0.8900105649205532,False
11,70,0.7991502255585806,False
12,9,0.9486259111037242,False
13,52,0.9532068817331648,True
14,38,0.8787269975902942,False
15,65,0.955846699432514,True
16,51,0.9430121052312749,False
17,35,0.9375865245989333,False
18,12,0.9355936321391776,False
19,70,0.9710641428807865,True
20,61,0.9150137506249791,False
21,5,0.8438609649882508,False
22,21,0.9803482018891455,True
23,81,0.905344621937738,False
24,12,0.7649363097273885,False
25,70,0.8031865773949108,False
26,23,0.862094752979231,False
27,41,0.9317346703241202,False
28,52,0.7595596755308212,False
29,75,0.9533090063202526,True
30,69,0.9063887219169162,False
31,33,0.9452171430309447,False
32,69,0.8894244985809296,False
33,73,0.9822295576591419,True
34,50,0.895353428490338,False
35,0,0.8942459029351444,False
