time_seconds,cycle,phase,pressure_torr,shroud_temp,node_id,measured_temp
0.0,1,COLD_RAMP,5.445638e+02,7.50,1,15.810
0.0,1,COLD_RAMP,5.445638e+02,7.50,2,13.777
0.0,1,COLD_RAMP,5.445638e+02,7.50,3,9.881
0.0,1,COLD_RAMP,5.445638e+02,7.50,4,3.267
0.0,1,COLD_RAMP,5.445638e+02,7.50,5,11.690
0.0,1,COLD_RAMP,5.445638e+02,7.50,6,15.013
5.0,1,COLD_RAMP,3.901970e+02,-5.00,1,9.444
5.0,1,COLD_RAMP,3.901970e+02,-5.00,2,5.280
5.0,1,COLD_RAMP,3.901970e+02,-5.00,3,-0.700
5.0,1,COLD_RAMP,3.901970e+02,-5.00,4,-6.214
5.0,1,COLD_RAMP,3.901970e+02,-5.00,5,1.701
5.0,1,COLD_RAMP,3.901970e+02,-5.00,6,7.644
10.0,1,COLD_RAMP,2.795884e+02,-17.50,1,1.994
10.0,1,COLD_RAMP,2.795884e+02,-17.50,2,-3.968
10.0,1,COLD_RAMP,2.795884e+02,-17.50,3,-11.222
10.0,1,COLD_RAMP,2.795884e+02,-17.50,4,-17.661
10.0,1,COLD_RAMP,2.795884e+02,-17.50,5,-8.483
10.0,1,COLD_RAMP,2.795884e+02,-17.50,6,-0.581
15.0,1,COLD_RAMP,2.003338e+02,-30.00,1,-6.061
15.0,1,COLD_RAMP,2.003338e+02,-30.00,2,-13.175
15.0,1,COLD_RAMP,2.003338e+02,-30.00,3,-21.538
15.0,1,COLD_RAMP,2.003338e+02,-30.00,4,-28.485
15.0,1,COLD_RAMP,2.003338e+02,-30.00,5,-18.434
15.0,1,COLD_RAMP,2.003338e+02,-30.00,6,-9.213
20.0,1,COLD_RAMP,1.435455e+02,-42.50,1,-14.056
20.0,1,COLD_RAMP,1.435455e+02,-42.50,2,-22.484
20.0,1,COLD_RAMP,1.435455e+02,-42.50,3,-31.515
20.0,1,COLD_RAMP,1.435455e+02,-42.50,4,-39.214
20.0,1,COLD_RAMP,1.435455e+02,-42.50,5,-28.177
20.0,1,COLD_RAMP,1.435455e+02,-42.50,6,-17.808
25.0,1,COLD_RAMP,1.028548e+02,-55.00,1,-22.039
25.0,1,COLD_RAMP,1.028548e+02,-55.00,2,-31.431
25.0,1,COLD_RAMP,1.028548e+02,-55.00,3,-41.252
25.0,1,COLD_RAMP,1.028548e+02,-55.00,4,-49.657
25.0,1,COLD_RAMP,1.028548e+02,-55.00,5,-37.599
25.0,1,COLD_RAMP,1.028548e+02,-55.00,6,-26.240
30.0,1,COLD_RAMP,7.369870e+01,-67.50,1,-29.751
30.0,1,COLD_RAMP,7.369870e+01,-67.50,2,-40.050
30.0,1,COLD_RAMP,7.369870e+01,-67.50,3,-50.677
30.0,1,COLD_RAMP,7.369870e+01,-67.50,4,-59.715
30.0,1,COLD_RAMP,7.369870e+01,-67.50,5,-46.707
30.0,1,COLD_RAMP,7.369870e+01,-67.50,6,-34.445
35.0,1,COLD_RAMP,5.280742e+01,-80.00,1,-37.260
35.0,1,COLD_RAMP,5.280742e+01,-80.00,2,-48.420
35.0,1,COLD_RAMP,5.280742e+01,-80.00,3,-59.623
35.0,1,COLD_RAMP,5.280742e+01,-80.00,4,-69.376
35.0,1,COLD_RAMP,5.280742e+01,-80.00,5,-55.485
35.0,1,COLD_RAMP,5.280742e+01,-80.00,6,-42.386
40.0,1,COLD_RAMP,3.783817e+01,-92.50,1,-44.465
40.0,1,COLD_RAMP,3.783817e+01,-92.50,2,-56.401
40.0,1,COLD_RAMP,3.783817e+01,-92.50,3,-68.170
40.0,1,COLD_RAMP,3.783817e+01,-92.50,4,-78.629
40.0,1,COLD_RAMP,3.783817e+01,-92.50,5,-63.807
40.0,1,COLD_RAMP,3.783817e+01,-92.50,6,-49.898
45.0,1,COLD_RAMP,2.711223e+01,-105.00,1,-51.308
45.0,1,COLD_RAMP,2.711223e+01,-105.00,2,-63.904
45.0,1,COLD_RAMP,2.711223e+01,-105.00,3,-76.376
45.0,1,COLD_RAMP,2.711223e+01,-105.00,4,-87.545
45.0,1,COLD_RAMP,2.711223e+01,-105.00,5,-71.767
45.0,1,COLD_RAMP,2.711223e+01,-105.00,6,-57.141
50.0,1,COLD_RAMP,1.942677e+01,-117.50,1,-57.775
50.0,1,COLD_RAMP,1.942677e+01,-117.50,2,-71.029
50.0,1,COLD_RAMP,1.942677e+01,-117.50,3,-84.072
50.0,1,COLD_RAMP,1.942677e+01,-117.50,4,-96.034
50.0,1,COLD_RAMP,1.942677e+01,-117.50,5,-79.261
50.0,1,COLD_RAMP,1.942677e+01,-117.50,6,-63.864
55.0,1,COLD_RAMP,1.391989e+01,-130.00,1,-63.893
55.0,1,COLD_RAMP,1.391989e+01,-130.00,2,-77.676
55.0,1,COLD_RAMP,1.391989e+01,-130.00,3,-91.344
55.0,1,COLD_RAMP,1.391989e+01,-130.00,4,-104.029
55.0,1,COLD_RAMP,1.391989e+01,-130.00,5,-86.234
55.0,1,COLD_RAMP,1.391989e+01,-130.00,6,-70.232
60.0,1,COLD_RAMP,9.974034e+00,-142.50,1,-69.679
60.0,1,COLD_RAMP,9.974034e+00,-142.50,2,-83.766
60.0,1,COLD_RAMP,9.974034e+00,-142.50,3,-98.202
60.0,1,COLD_RAMP,9.974034e+00,-142.50,4,-111.552
