Trial_ID,CPU_Power_W,Radiator_Area_m2,Emissivity,Conductance_Mult,Beta_Angle_deg,Altitude_km,Failure_Mode,T_max_CPU,T_max_Battery,T_max_Payload,Overheated,Time_to_Critical_s
0,21.854305348131312,0.15355402001866508,0.8320189468087253,1.1446530468644283,-54.2622854037237,386.17765903413,None,42.45810509160549,28.055540756430315,35.372666292488056,0,-1.0
1,47.78214378844623,0.12329311282579797,0.9280844550427825,0.8596302736541562,-0.9308778081443734,552.8076396003395,None,88.87072292262866,47.340650909251316,62.708761481880984,1,1100.0
2,37.93972738151323,0.15760395702011926,0.8991308575549837,0.8754033624986131,43.615844196070384,405.66230880669633,None,63.65182090483779,33.60871705563011,43.79935502708657,0,-1.0
3,31.93963178886665,0.16221171490567646,0.7977465350455428,0.8042888780979802,48.67412167235588,529.3508888513026,None,57.50509038827342,30.109961254169807,40.30810818756839,0,-1.0
4,12.020838819909644,0.1611958089586208,0.9070804656519398,0.9324484094210161,-0.06868584022284097,585.8245993114132,None,48.12924058689337,31.825243627543564,43.15260543286155,0,-1.0
5,12.01975341512912,0.17161561451109242,0.890166844658373,1.016301292235308,-35.06138457680536,481.9430522672193,None,40.203935703772,28.06714397048519,37.206819984564206,0,-1.0
6,7.613762547568976,0.16667844309097807,0.9228504299485087,1.0103389390678803,85.27366476692885,485.0072980651719,None,20.82878399004335,19.297046446695,21.352148225390444,0,-1.0
7,43.97792655987208,0.15918360158456873,0.8498450298388761,1.0150462633457225,29.40526997216871,465.25839202445303,None,73.23368891450505,41.69018840755522,53.28989980656367,0,-1.0
8,32.0501755284444,0.14859668577082705,0.8485890935142197,0.8683975318990242,-16.517246517666237,431.4725358484107,None,68.42849273827196,39.234271701329604,52.22276184019486,0,-1.0
9,36.86326600082205,0.11678078132968017,0.8633404999793197,1.0836288707747253,-39.516619643162564,468.9137577312293,None,68.4956863021415,42.039412321926136,53.40970536983438,0,-1.0
10,5.92630224331111,0.1585923643826517,0.8492245210706906,1.024252165655038,41.598536940641196,500.70188306668985,None,34.522109935073026,27.827598792349317,34.453943784392976,0,-1.0
11,48.645943347289744,0.1541537537432622,0.8623548034443372,1.0760591454794322,-46.40697979312181,596.4978930426648,None,68.90142307870416,39.336111753132826,48.59207211638045,0,-1.0
12,42.45991883601898,0.15543157674390745,0.8507315462898861,0.8275578889365157,-59.09220198473613,584.441139829556,None,61.25303375106419,28.71374311176087,38.09725273455277,0,-1.0
13,14.555259980522427,0.12446502848359381,0.8662630894402205,1.0316392952741262,5.370100013172646,565.5382395732804,None,56.89023061126577,39.88654954878964,51.9946046420556,0,-1.0
14,13.182123524319527,0.12837886919183475,0.8767303768719699,0.888006226676245,-37.802269324054464,572.2826339262145,None,45.75413766882198,30.761819223079044,40.39664628923424,0,-1.0
15,13.253202943404522,0.17106305706665806,0.8288619550091842,0.9610466526435582,23.202926086250713,466.9622958230107,None,46.49519679056479,31.741475760019974,42.952038856683274,0,-1.0
16,18.690900933179197,0.1492088969228669,0.9364886586641605,1.0548899934327476,-68.77103852263798,514.3610817943662,Sensor Noise 10x,30.227031760459337,11.188342018874406,24.178498510864884,0,-1.0
17,28.614039423450702,0.16363001394745247,0.9161248074630122,1.009150977121667,27.889398822117883,573.7666807340536,None,57.776822282271844,34.82873267828379,46.46237555735674,0,-1.0
18,24.43752583889521,0.1505663675226092,0.8707760947875465,0.9183708462578275,-39.0066249604136,448.23769124783826,None,53.68492747800027,32.63147853357708,42.1196566733062,0,-1.0
19,18.105311308911887,0.1505951227899149,0.7717622199892289,1.000627512422035,-89.95627180178771,590.4406195863672,Radiator Degradation,25.777197189115142,19.25013015589419,21.479259479266148,0,-1.0
20,32.53338026250708,0.16876567611951995,0.904755939303449,0.8579979819604706,-67.15150961864825,453.9465155172958,None,42.19916499557269,21.444185425436945,27.365918633740055,0,-1.0
21,11.277223729341882,0.1396791054356525,0.8205648570798124,1.1219034364085763,78.05076801031694,500.2706663483039,Radiator Degradation,22.19041559788131,20.16319314832732,20.951440599287796,0,-1.0
22,18.146509184084817,0.15192241553881966,0.9385562125802379,0.9796808712326207,66.12383504076442,527.451178318093,None,30.34872879129291,19.781394160262526,23.394929403613048,0,-1.0
23,21.486282948216125,0.14075449422589914,0.8638077922716803,1.1183506818038405,-47.95037423347737,587.6480032689846,None,46.473830649114234,30.75922029991031,38.189240468056106,0,-1.0
24,25.523149289766618,0.14131007545135368,0.8164285210273898,0.9487089973936457,50.10694281818843,411.15406851306653,Partial MLI Loss,48.91395307548063,29.627759300345815,37.006831678514395,0,-1.0
25,40.33291826268561,0.14381655753062722,0.8326747822611598,0.9489894486320994,19.542886771315366,536.5327445596606,None,76.1383963161047,43.40334611113897,57.11075600422585,0,-1.0
26,13.985320197126189,0.15444267543267426,0.8709828429805323,0.926428249608762,84.7628480609765,480.2038965360206,None,22.713272263321738,19.689094597574556,21.048562713070844,0,-1.0
27,28.140549728612523,0.14042502756673045,0.8706580842540753,1.0915703998304533,-22.750981283869365,417.1392851551603,None,64.44721828720671,40.80997767056653,52.47842992002059,0,-1.0
28,31.65865559879191,0.1751151225114704,0.8205465826081402,0.9315148791617562,32.66291025309083,544.1517099490976,None,60.27260282211724,34.46624406088272,46.576208833630936,0,-1.0
29,7.090268572399898,0.13210785395560992,0.8812025402309263,1.0665824269041262,-78.56356996369465,488.05557004346167,None,21.391468543907624,19.68572586809108,20.190257125614476,0,-1.0
30,32.339518335564726,0.14626256711677282,0.8859043024926986,0.9624768743415918,-18.675477573046933,515.243455162419,None,67.1928961473488,39.67671624738372,52.822669790328874,0,-1.0
31,12.673585565928118,0.1412053788345165,0.7688089095816214,0.8207010786937524,83.48717901387249,430.72526714447525,None,23.904868651089558,20.19923536950264,20.321617480118906,0,-1.0
32,7.927321684337578,0.17893955768707465,0.8981359013405283,0.944564403175538,7.0165574010217,470.31848795690127,None,42.648356349191126,31.66393733413593,40.98502886180779,0,-1.0
33,47.699849176399994,0.1539310955302315,0.8425075985248214,0.8887753087860921,-38.18168939972798,504.3385627470168,None,76.70869533499227,40.399346892613536,51.954118280133336,0,-1.0
34,48.45344148835517,0.1706368907893727,0.8246658315119497,1.0033960258417092,-68.35122663685077,451.227703567461,None,54.28286897632949,27.640004914802955,33.55730579217476,0,-1.0
35,41.37788066524075,0.12028879253926056,0.85977925792314,0.8877716024086769,36.63510123267548,399.59313496192533,None,75.09491811179052,41.777191419203845,54.55321439575694,0,-1.0
36,18.70761961280168,0.15534100531738518,0.8834509081293163,1.0970201068541368,26.07408781735083,590.410123078826,Heater Stuck ON,52.637442321241366,42.10371079642298,46.671382286647884,0,-1.0
37,9.395245130287275,0.16779261591246875,0.7451776181797596,0.9909337624030257,-22.691031551320563,477.86688501065436,None,46.6429322033117,33.56437213297328,43.724163935757566,0,-1.0
