day,mode,winner_sat_id,max_temp_cpu,avg_temp_cpu,total_tasks_completed,total_overheat_incidents
11.50,cooperative,0,5811.67,599.17,116,115
11.60,cooperative,0,5855.30,603.53,117,116
11.70,cooperative,0,5910.36,609.04,118,117
11.80,cooperative,0,5964.43,614.44,119,118
11.90,cooperative,0,6003.16,618.32,120,119
12.00,cooperative,0,6062.38,624.24,121,120
12.10,cooperative,0,6114.10,629.41,122,121
12.20,cooperative,0,6173.87,635.39,123,122
12.30,cooperative,0,6225.29,640.53,124,123
12.40,cooperative,0,6258.91,643.89,125,124
12.50,cooperative,0,6303.40,648.34,126,125
12.60,cooperative,0,6337.65,651.77,127,126
12.70,cooperative,0,6402.47,658.25,128,127
12.80,cooperative,0,6465.59,664.56,129,128
12.90,cooperative,0,6527.14,670.71,130,129
13.00,cooperative,0,6571.07,675.11,131,130
13.10,cooperative,0,6606.62,678.66,132,131
13.20,cooperative,0,6669.72,684.97,133,132
13.30,cooperative,0,6735.14,691.51,134,133
13.40,cooperative,0,6771.61,695.16,135,134
13.50,cooperative,0,6821.54,700.15,136,135
13.60,cooperative,0,6857.47,703.75,137,136
13.70,cooperative,0,6916.63,709.66,138,137
13.80,cooperative,0,6975.96,715.60,139,138
13.90,cooperative,0,7013.87,719.39,140,139
14.00,cooperative,0,7063.44,724.34,141,140
14.10,cooperative,0,7115.51,729.55,142,141
14.20,cooperative,0,7158.02,733.80,143,142
14.30,cooperative,0,7220.93,740.09,144,143
14.40,cooperative,0,7268.75,744.88,145,144
14.50,cooperative,0,7309.47,748.95,146,145
14.60,cooperative,0,7361.19,754.12,147,146
14.70,cooperative,0,7419.31,759.93,148,147
14.80,cooperative,0,7459.67,763.97,149,148
14.90,cooperative,0,7503.75,768.37,150,149
15.00,cooperative,0,7570.78,775.08,151,150
15.10,cooperative,0,7626.22,780.62,152,151
15.20,cooperative,0,7674.54,785.45,153,152
15.30,cooperative,0,7725.53,790.55,154,153
15.40,cooperative,0,7763.20,794.32,155,154
15.50,cooperative,0,7804.35,798.43,156,155
15.60,cooperative,0,7849.30,802.93,157,156
15.70,cooperative,0,7902.67,808.27,158,157
15.80,cooperative,0,7944.00,812.40,159,158
15.90,cooperative,0,7985.00,816.50,160,159
16.00,cooperative,0,8020.99,820.10,161,160
16.10,cooperative,0,8075.79,825.58,162,161
16.20,cooperative,0,8117.09,829.71,163,162
16.30,cooperative,0,8181.11,836.11,164,163
16.40,cooperative,0,8243.59,842.36,165,164
16.50,cooperative,0,8279.57,845.96,166,165
16.60,cooperative,0,8321.17,850.12,167,166
16.70,cooperative,0,8377.25,855.72,168,167
16.80,cooperative,0,8418.05,859.80,169,168
16.90,cooperative,0,8456.09,863.61,170,169
17.00,cooperative,0,8521.12,870.11,171,170
17.10,cooperative,0,8573.91,875.39,172,171
17.20,cooperative,0,8623.39,880.34,173,172
17.30,cooperative,0,8683.36,886.34,174,173
17.40,cooperative,0,8744.09,892.41,175,174
17.50,cooperative,0,8784.09,896.41,176,175
17.60,cooperative,0,8820.94,900.09,177,176
17.70,cooperative,0,8869.03,904.90,178,177
17.80,cooperative,0,8916.86,909.69,179,178
17.90,cooperative,0,8966.15,914.62,180,179
18.00,cooperative,0,9024.25,920.42,181,180
18.10,cooperative,0,9080.47,926.05,182,181
18.20,cooperative,0,9147.14,932.71,183,182
18.30,cooperative,0,9184.05,936.40,184,183
18.40,cooperative,0,9231.18,941.12,185,184
18.50,cooperative,0,9276.18,945.62,186,185
18.60,cooperative,0,9338.73,951.87,187,186
18.70,cooperative,0,9380.68,956.07,188,187
18.80,cooperative,0,9420.67,960.07,189,188
18.90,cooperative,0,9469.35,964.93,190,189
19.00,cooperative,0,9517.12,969.71,191,190
19.10,cooperative,0,9560.08,974.01,192,191
19.20,cooperative,0,9602.08,978.21,193,192
19.30,cooperative,0,9666.70,984.67,194,193
19.40,cooperative,0,9715.19,989.52,195,194
19.50,cooperative,0,9777.73,995.77,196,195
19.60,cooperative,0,9829.82,1000.98,197,196
19.70,cooperative,0,9865.12,1004.51,198,197
19.80,cooperative,0,9932.29,1011.23,199,198
19.90,cooperative,0,9993.98,1017.40,200,199
20.00,cooperative,0,10060.14,1024.01,201,200
20.10,cooperative,0,10124.87,1030.49,202,201
20.20,cooperative,0,10186.99,1036.70,203,202
20.30,cooperative,0,10226.17,1040.62,204,203
20.40,cooperative,0,10276.09,1045.61,205,204
20.50,cooperative,0,10316.87,1049.69,206,205
