Complexity,Loss,Equation
1,0.03907404,"-0.17535663"
2,0.00040011518,"sin(x0)"
3,8.700176e-6,"x0 + 0.022707887"
9,5.908468e-6,"cube(cube(cos(x0) + -0.3295649)) + sin(x0)"
