Node,Std_RMSE_C,Std_Peak_Error_C,Robust_RMSE_C,Robust_Peak_Error_C
CPU,9.446813886985222,18.358827551171032,8.82162121581457,17.34172163018991
Battery,7.065505033784628,14.991479885991453,5.777609000926405,14.049926864486054
Payload,9.13039664359022,18.20363686448428,8.411028561070731,17.194956147411403
Structure,9.722426460002078,18.489407119712666,9.209090714876114,17.464307528547977
Radiator,8.519568540755682,16.256222818280207,8.047568452670795,15.379903478054928
Paneles,31.18016463731137,67.68060724918689,34.3501454345247,83.2525339288319
