Timestamp_s,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Power_Payload_W,In_Pass,Throttled,Safe_Mode
0.0,0.0,20.0,20.0,20.0,33.0,5.0,1,0,0
600.0,0.006944444444444444,43.18818029476273,24.58146332612131,35.95290023751545,15.0,5.0,0,0,0
1200.0,0.013888888888888888,57.93747955865291,35.53578866823045,51.21275686259321,20.0,5.0,1,1,0
1800.0,0.020833333333333332,48.79036544018385,39.940488566149895,46.01463634368611,15.0,5.0,0,0,0
2400.0,0.027777777777777776,34.15741136832918,35.64275672985269,32.162342765430935,15.0,5.0,0,0,0
3000.0,0.034722222222222224,23.035656594935574,27.80747842464757,20.582851059919506,15.0,5.0,0,0,0
3600.0,0.041666666666666664,14.316289599856873,19.374852605651768,11.508557218437602,15.0,5.0,0,0,0
4200.0,0.04861111111111111,17.799684004707444,11.882963651543776,5.570144560143831,33.0,5.0,1,0,0
4800.0,0.05555555555555555,4.574590519905769,6.209102869679953,1.297320345123012,15.0,5.0,0,0,0
5400.0,0.0625,9.821474027266845,1.2222713088947899,-1.436339307678793,15.0,5.0,0,0,0
6000.0,0.06944444444444445,34.549024611992195,9.73748900695864,25.586114011434745,15.0,5.0,0,0,0
6600.0,0.0763888888888889,51.76889628674019,24.593140864428165,44.66382957190433,20.0,5.0,1,1,0
7200.0,0.08333333333333333,36.34941580469069,31.182681567948237,36.264417854702,5.0,0.0,0,0,1
7800.0,0.09027777777777778,19.71100363232148,26.88512678710339,19.73686785258434,5.0,0.0,0,0,1
8400.0,0.09722222222222222,6.780298351621752,18.18049387007568,6.2742217031419045,5.0,0.0,0,0,1
9000.0,0.10416666666666667,-3.5301206891386983,8.532806574723622,-4.422985477732595,5.0,0.0,0,0,1
9600.0,0.1111111111111111,-12.104048410400878,-0.7211473823001029,-13.25742816036194,5.0,0.0,1,0,1
10200.0,0.11805555555555555,-19.450357415982666,-9.156396284818925,-20.79018419556445,5.0,0.0,0,0,1
10800.0,0.125,-21.170172712876422,-15.907240302041203,-24.3218640524089,5.0,0.0,0,0,1
11400.0,0.13194444444444445,9.609237176058116,-8.83310718913907,2.158577348362769,5.0,0.0,0,0,1
12000.0,0.1388888888888889,27.360029567991774,5.9414651963354,22.763812622296314,5.0,0.0,1,0,1
12600.0,0.14583333333333334,20.06099728310255,13.314219622446956,19.166685475410134,5.0,0.0,0,0,1
13200.0,0.1527777777777778,6.786571428145692,11.117358493788174,6.334946913424517,5.0,0.0,0,0,1
13800.0,0.1597222222222222,-4.062428956234555,4.609679198747756,-4.878825340754133,5.0,0.0,0,0,1
14400.0,0.16666666666666666,-12.856427338915012,-3.128410126466747,-13.97871878297741,5.0,0.0,0,0,1
15000.0,0.1736111111111111,-20.248374286104507,-10.801543873295941,-21.582410045498307,5.0,0.0,1,0,1
15600.0,0.18055555555555555,-26.63943551397196,-17.942031716573183,-28.126392727535148,5.0,0.0,0,0,1
16200.0,0.1875,-27.56555552074107,-23.631087276196467,-30.842627804394397,5.0,0.0,0,0,1
16800.0,0.19444444444444445,4.242732260925266,-15.592827096910526,-3.3934840807805813,5.0,0.0,0,0,1
17400.0,0.2013888888888889,23.16231903259029,0.24160075513992751,18.38224464322076,5.0,0.0,1,0,1
18000.0,0.20833333333333334,16.7010940169842,8.63710386946235,15.68477033385102,5.0,0.0,0,0,1
18600.0,0.2152777777777778,3.9564807947309646,7.272463647260508,3.426498534197208,5.0,0.0,0,0,1
19200.0,0.2222222222222222,-6.507080038892013,1.3997296163962574,-7.381652532067108,5.0,0.0,0,0,1
19800.0,0.22916666666666666,-14.995963874145332,-5.854152607628237,-16.164842247186073,5.0,0.0,0,0,1
20400.0,0.2361111111111111,-22.138033419797864,-13.151056042717414,-23.510526861829504,5.0,0.0,1,0,1
21000.0,0.24305555555555555,-28.320885752566568,-19.992652651847038,-29.840084057114467,5.0,0.0,0,0,1
