Hour,Sat_0_Temp_C,Sat_1_Temp_C,Sat_2_Temp_C,Sat_3_Temp_C,Sat_4_Temp_C,Sat_5_Temp_C,Sat_6_Temp_C,Sat_7_Temp_C,Sat_8_Temp_C,Sat_9_Temp_C
0,146.47967909187292,43.81621440651742,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23614165680158,43.81621440651742,13.62106946598169,-8.427585481413985,-8.427585481413985
1,116.23614157342786,43.80972973036455,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23614157342786,43.80972973036455,13.62106946598169,-8.427585481413985,-8.427585481413985
2,116.23614132330675,43.80324465905932,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23614132330675,43.80324465905932,13.62106946598169,-8.427585481413985,30.649223395517424
3,116.23614090643821,43.79675919259057,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23614090643821,43.79675919259057,13.62106946598169,-8.427585481413985,-8.427585481413985
4,116.23614032282228,43.79027333094746,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23614032282228,43.79027333094746,13.62106946598169,12.381209800451359,-8.427585481413985
5,116.23613957245885,43.78378707411872,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23613957245885,43.78378707411872,13.62106946598169,-8.427585481413985,-8.427585481413985
6,116.23613865534804,43.77730042209322,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23613865534804,43.77730042209322,59.564724538831,-8.427585481413985,-8.427585481413985
7,116.23613757149002,43.770813374860154,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23613757149002,43.770813374860154,13.62106946598169,-8.427585481413985,-8.427585481413985
8,116.23613632088438,43.76432593240827,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23613632088438,43.76432593240827,13.62106946598169,-8.427585481413985,-8.427585481413985
9,116.23613490353131,43.757838094726594,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23613490353131,71.60411785180378,13.62106946598169,-8.427585481413985,-8.427585481413985
10,116.2361333194309,43.75134986180393,-8.427585481413985,-8.427585481413985,-8.427585481413985,145.0916697953545,43.75134986180393,13.62106946598169,-8.427585481413985,-8.427585481413985
11,116.236131568583,43.74486123362942,-8.427585481413985,-8.427585481413985,33.349876890620976,116.236131568583,43.74486123362942,13.62106946598169,-8.427585481413985,-8.427585481413985
12,116.23612965098778,43.73837221019198,-8.427585481413985,16.30644402708384,-8.427585481413985,116.23612965098778,43.73837221019198,13.62106946598169,-8.427585481413985,-8.427585481413985
13,116.236127566645,43.73188279148036,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.236127566645,43.73188279148036,13.62106946598169,-8.427585481413985,-8.427585481413985
14,116.23612531555483,43.72539297748375,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23612531555483,43.72539297748375,13.62106946598169,-8.427585481413985,-8.427585481413985
15,116.23612289771717,43.718902768191015,10.087440377190717,-8.427585481413985,-8.427585481413985,116.23612289771717,43.718902768191015,13.62106946598169,-8.427585481413985,-8.427585481413985
16,116.23612031313195,63.32455380008287,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23612031313195,43.712412163591125,13.62106946598169,-8.427585481413985,-8.427585481413985
17,116.23611756179929,43.705921163673,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23611756179929,43.705921163673,13.62106946598169,-8.427585481413985,-8.427585481413985
18,136.79882761683223,43.6994297684256,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23611464371919,43.6994297684256,13.62106946598169,-8.427585481413985,-8.427585481413985
19,116.23611155889165,43.69293797783797,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23611155889165,43.69293797783797,13.62106946598169,-8.427585481413985,31.06893879241784
20,116.23610830731656,43.68644579189896,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23610830731656,43.68644579189896,13.62106946598169,-8.427585481413985,-8.427585481413985
21,116.23610488899385,43.6799532105976,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23610488899385,43.6799532105976,13.62106946598169,-8.427585481413985,-8.427585481413985
22,116.2361013039237,43.67346023392287,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2361013039237,43.67346023392287,13.62106946598169,32.31765517412623,-8.427585481413985
23,116.236097552106,43.66696686186373,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.236097552106,43.66696686186373,30.550136922318586,-8.427585481413985,-8.427585481413985
24,116.23609363354075,43.6604730944091,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23609363354075,70.76073424368371,13.62106946598169,-8.427585481413985,-8.427585481413985
25,116.23608954822805,43.65397893154807,-8.427585481413985,-8.427585481413985,-8.427585481413985,136.58631154511238,43.65397893154807,13.62106946598169,-8.427585481413985,-8.427585481413985
26,116.23608529616774,43.64748437326949,-8.427585481413985,-8.427585481413985,13.444380216792752,116.23608529616774,43.64748437326949,13.62106946598169,-8.427585481413985,-8.427585481413985
27,116.23608087735954,43.64098941956246,-8.427585481413985,10.381975222113795,-8.427585481413985,116.23608087735954,43.64098941956246,13.62106946598169,-8.427585481413985,-8.427585481413985
28,116.23607629180412,43.63449407041588,16.890542821136137,-8.427585481413985,-8.427585481413985,116.23607629180412,43.63449407041588,13.62106946598169,-8.427585481413985,-8.427585481413985
29,116.23607153950081,82.02767617933085,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23607153950081,43.62799832581885,13.62106946598169,-8.427585481413985,-8.427585481413985
30,134.51905895961715,43.62150218576011,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23606662045006,43.62150218576011,13.62106946598169,-8.427585481413985,-8.427585481413985
31,116.23606153465153,43.615005650228966,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23606153465153,43.615005650228966,13.62106946598169,-8.427585481413985,22.266878730381848
32,116.23605628210521,43.60850871921417,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23605628210521,43.60850871921417,13.62106946598169,27.69757699893927,-8.427585481413985
33,116.23605086281145,43.60201139270487,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23605086281145,43.60201139270487,42.32234688713902,-8.427585481413985,-8.427585481413985
34,116.23604527676986,43.595513670689854,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23604527676986,43.595513670689854,13.62106946598169,-8.427585481413985,-8.427585481413985
35,116.23603952398065,43.58901555315839,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23603952398065,43.58901555315839,13.62106946598169,-8.427585481413985,-8.427585481413985
36,116.23603360444366,43.58251704009939,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23603360444366,82.73528476048756,13.62106946598169,-8.427585481413985,-8.427585481413985
37,116.23602751815895,43.57601813150171,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23602751815895,43.57601813150171,13.62106946598169,-8.427585481413985,-8.427585481413985
38,116.23602126512623,43.56951882735444,-8.427585481413985,-8.427585481413985,-8.427585481413985,148.44833789438388,43.56951882735444,13.62106946598169,-8.427585481413985,-8.427585481413985
39,116.23601484534595,43.563019127646726,-8.427585481413985,-8.427585481413985,14.331095124729075,116.23601484534595,43.563019127646726,13.62106946598169,-8.427585481413985,-8.427585481413985
40,116.23600825881778,43.55651903236736,-8.427585481413985,21.629480045296418,-8.427585481413985,116.23600825881778,43.55651903236736,13.62106946598169,-8.427585481413985,-8.427585481413985
41,116.23600150554171,43.550018541505494,15.796062146994473,-8.427585481413985,-8.427585481413985,116.23600150554171,43.550018541505494,13.62106946598169,-8.427585481413985,-8.427585481413985
42,116.2359945855178,64.67651350334387,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2359945855178,43.543517655050096,13.62106946598169,-8.427585481413985,-8.427585481413985
43,116.235987498746,43.537016372990195,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.235987498746,43.537016372990195,13.62106946598169,-8.427585481413985,-8.427585481413985
44,128.20502018671465,43.53051469531471,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.2359802452263,43.53051469531471,13.62106946598169,-8.427585481413985,-8.427585481413985
45,116.23597282495871,43.524012622012776,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23597282495871,43.524012622012776,13.62106946598169,-8.427585481413985,24.94727559002405
46,116.23596523794316,43.51751015307343,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23596523794316,43.51751015307343,13.62106946598169,-8.427585481413985,-8.427585481413985
47,116.23595748417955,43.5110072884857,-8.427585481413985,-8.427585481413985,-8.427585481413985,116.23595748417955,43.5110072884857,13.62106946598169,21.790209403375968,-8.427585481413985
