area,emissivity,max_temp,mass,cost,feasible
0.0864491338167939,0.8714315028371791,20.0,0.0864491338167939,0.09756376903264669,True
0.0783519917195005,0.8616776049349693,24.140946226649874,0.0783519917195005,0.08918982687225727,True
0.057859335863128095,0.6975661150609012,60.986018623408086,0.057859335863128095,0.07535795958821005,True
0.06979873507394162,0.9180802007007945,27.805777748653497,0.06979873507394162,0.07551663344253734,True
0.05336132600544055,0.6713152152949967,69.64997058648657,0.05336132600544055,0.07090038195511227,True
0.04114359164015158,0.8457384503738338,71.75869114404207,0.04114359164015158,0.04749046584374754,True
0.06262639867815421,0.8340271088171255,42.35073169836954,0.06262639867815421,0.07302068313113882,True
0.037761503496979244,0.7952730864274765,82.42271956687978,0.037761503496979244,0.04549229955977385,True
0.034625029793803774,0.8632351895175664,82.7625881106029,0.034625029793803774,0.03936051543150196,True
0.043781785265282175,0.8027307472173808,71.03582385794624,0.043781785265282175,0.052418585330053474,True
