Node,T_max_No_Cavity_C,T_max_Cavity_C,Delta_T_C
CPU,53.90943343945065,54.31012768192534,0.4006942424746853
Battery,36.72066642156358,37.597067537145904,0.8764011155823255
Payload,48.66849897583069,49.18130705381111,0.5128080779804236
Structure,47.09909618607668,47.58267419282498,0.48357800674830287
Radiator,34.16003071078808,34.99885563693459,0.8388249261465148
Paneles,181.57745827986741,177.87164631294087,-3.7058119669265466
