time,power_w,T_cpu_measured,T_cpu_real,T_cpu_estimated,T_rad_measured,T_rad_real,estimated_C,estimated_eps,residual
0,25.0,20.248357076505616,20.59813793147066,20.43034905482216,19.93086784941441,18.680912406122673,280.95409408070265,0.6106858537038696,-0.18199197831654246
5,25.0,21.06058389393934,21.16381183155454,20.842178761504954,18.563835718761005,17.531080487297004,280.01289623988265,0.5978439735564535,0.21840513243438764
10,25.0,21.52104680639863,21.697664037925392,21.238444119537803,17.91479785187346,16.525323961647246,278.835547512397,0.5812049804986615,0.2826026868608267
15,25.0,21.485832240078146,22.200506397480353,21.619578232378842,16.293615115241014,15.642400634852493,279.3744288201576,0.589089830446811,-0.13374599230069606
20,25.0,21.828510443665774,22.673277195533558,21.983542523004814,14.685760512523593,14.86436998700185,279.97051941047755,0.5982408638028187,-0.1550320793390405
25,25.0,21.90925948708767,23.117005909439683,22.330753730184085,14.357954426834638,14.176063262718344,281.51507049657573,0.6231495511314311,-0.42149424309641503
30,25.0,22.199692542813317,23.532784471606647,22.660629050609884,13.469911412050699,13.56464133702275,283.1127992759878,0.6504195347961699,-0.4609365077965677
35,25.0,22.980356375847016,23.921743945219646,22.97377241694261,13.598405439366712,13.019225171839821,283.0912345424144,0.6500296014465277,0.006583958904407439
40,25.0,23.235302873392374,24.28503569741025,23.272504714899128,13.074686466694754,12.530586480519958,283.2076019523671,0.6522350940544154,-0.03720184150675365
45,25.0,24.084113975705446,24.623816305602475,23.55710979737637,12.230267135560554,12.090888454011917,281.63622725244625,0.6209619167337831,0.5270041783290758
50,25.0,23.959187329952844,24.93923555864336,23.82964307642004,13.017027546266386,11.693468200256518,281.26394197874293,0.6132675154984285,0.12954425353280286
55,25.0,24.070782632877503,25.232427019396027,24.08931314043525,12.104740656308113,11.33265400339036,281.31479320027205,0.6143691145661503,-0.018530507557748876
60,25.0,25.02046435587812,25.504500703262522,24.336209179609625,10.352818941450472,11.003611693563528,279.5282789640987,0.5736578188662224,0.6842551762684934
65,25.0,25.308697248753692,25.75653750051498,24.5723542501039,11.372844983561233,10.702215386736668,277.6762629404996,0.5298126646475029,0.7363429986497927
70,25.0,25.425577924472936,25.989585031742138,24.79815090361285,10.551663538942023,10.424938649361764,276.1561261924082,0.49242452050905783,0.6274270208600861
75,25.0,25.376571444507242,26.204654677141946,25.013730678940135,10.19461926388187,10.168762798675232,275.3115784188306,0.47078732924827954,0.36284076556710687
80,25.0,26.142383257707504,26.40271956345424,25.219037852097358,9.287242720993865,9.93109959167208,273.25711887615904,0.4156877931928688,0.9233454056101458
85,25.0,25.9941056979806,26.584713328397356,25.415431995371705,9.592638591519101,9.709726005545008,272.01537988718405,0.3811334003921116,0.5786737026088957
90,25.0,26.901179844541034,26.751529512686886,25.602792099119824,10.175366065103107,9.50272918614246,269.3436039206573,0.3035540075577381,1.2983877454212092
95,25.0,26.41399861006436,26.90402145502162,25.782562758394192,9.668360901844242,9.308459952279122,268.0837662032116,0.2658026600862795,0.6314358516701688
100,25.0,26.49672600758315,27.043002586617092,25.954295695183703,9.215630463947214,9.125493503406403,267.0444452520681,0.23335401277548853,0.5424303123994463
105,25.0,26.291554544521105,27.169247039614845,26.11840302984166,9.531756414603503,8.952596195103638,266.7260023270831,0.22299025731942532,0.17315151467944645
110,25.0,26.993447387297977,27.283490498547337,26.27500717059911,9.45436264404965,8.788697428341038,265.4629638269184,0.17996646391208437,0.7184402166988662
115,25.0,26.833911596015177,27.386431236464546,26.425184545191087,8.969395231095245,8.63286585045131,264.7702724425243,0.15547756757623665,0.40872705082409055
120,25.0,27.253538335336167,27.478731287718063,26.569106742958752,9.415187678358313,8.48428919315802,263.6552001171948,0.11445012247743275,0.6844315923774147
