module,system,n_seeds,mean,ci_lower,ci_upper,rel_width,cv,converged,stable,convergence_status,stability,mean_time_s,total_time_s,peak_ram_mb,peak_vram_mb
EV3,lorenz,4,3.150346203127063,,,inf,0.3594318510455224,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3,duffing,50,2.072150981140549,1.929896586640591,2.321083272736885,0.1887829070645121,0.3139734444996462,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3,van_der_pol,20,1.8409182939318616,1.8265956715894969,1.862327566821916,0.0194098213648051,0.0225635369736895,True,True,CONVERGED,STABLE,,,,
EV3,rossler,40,2.076866890751521,2.0314794229255844,2.126287422980172,0.0456495312611396,0.0754656904629173,True,False,CONVERGED,UNSTABLE,,,,
EV3,logistic,20,2.536208628006922,2.5111466457004274,2.5631657695726995,0.020510585484898,0.0236372142403564,True,True,CONVERGED,STABLE,,,,
EV3,ECG200,20,1.5377540698791363,1.5105380076689454,1.5601796906208256,0.0322819389161375,0.0372613469409505,True,True,CONVERGED,STABLE,,,,
EV3,ECG5000,20,1.5377540698791363,1.512755873585054,1.5603771704814855,0.0309680837978042,0.0372613469409505,True,True,CONVERGED,STABLE,,,,
EV3_EXT,lorenz,50,232.2864177640449,218.4022948513935,241.85972763267424,0.1009849521426115,0.1748624261571246,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3_EXT,duffing,50,285.02651411147264,273.4847813411286,291.64601019839307,0.0637176822439812,0.107854764224406,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3_EXT,van_der_pol,20,299.06720951590694,299.05707324521467,299.07712227324777,6.703853647329807e-05,7.917211768587407e-05,True,True,CONVERGED,STABLE,,,,
EV3_EXT,rossler,20,299.54395065385347,299.5068141571459,299.5628803758207,0.0001871719277001,0.0002045496643737,True,True,CONVERGED,STABLE,,,,
EV3_EXT,logistic,20,51.28864494052893,50.6892071606182,51.99413509781724,0.0254428234302573,0.0297993227773439,True,True,CONVERGED,STABLE,,,,
EV3_EXT,ECG200,50,10.470029177980816,10.23707830658264,10.762922684678372,0.0502237738937366,0.090260495417101,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3_EXT,ECG5000,50,10.470029177980816,10.249188206441888,10.75399961506079,0.04821489988591,0.090260495417101,True,False,CONVERGED,UNSTABLE,,,,
EV3_DEEP,lorenz,30,330.9725667406105,321.52682126343086,338.0159698706598,0.0498202880365966,0.0711009929946475,True,False,CONVERGED,UNSTABLE,,,,
EV3_DEEP,duffing,50,333.11668433541337,318.0826703993967,343.960722533479,0.0776846473052241,0.1392327672652541,False,False,NOT_CONVERGED,UNSTABLE,,,,
EV3_DEEP,van_der_pol,20,363.3821805243306,362.91177019806327,363.8398921373679,0.0025541206725255,0.0030620356447298,True,True,CONVERGED,STABLE,,,,
EV3_DEEP,rossler,20,364.95164620591976,364.3368295099015,365.6344595705091,0.0035556218860715,0.0040539968687886,True,True,CONVERGED,STABLE,,,,
EV3_DEEP,logistic,50,229.01708211087112,217.7458986764125,256.0951623352093,0.1674515425021056,0.2624828192765083,False,False,NOT_CONVERGED,UNSTABLE,,,,
