Step,Day,T_CPU_C,T_Battery_C,T_Payload_C,Power_CPU_W,Mode,Watchdogs,ECC_Repairs,Sensor_CPU_Status,Sensor_Battery_Status
200,8.333333333333334,10.595551566920221,6.448372793192107,3.069925579141625,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
204,8.5,35.5846061453758,28.087374208375195,23.443354529286296,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
208,8.666666666666666,66.58080415675863,44.6199036057522,54.98278159448091,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
212,8.833333333333334,10.595551566920165,6.44837279319205,3.069925579141568,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
216,9.0,35.58460614537563,28.087374208374968,23.443354529286125,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
220,9.166666666666666,66.58080415675835,44.61990360575203,54.98278159448063,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
224,9.333333333333334,10.595551566919937,6.448372793191766,3.069925579141284,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
228,9.5,35.58460614537563,28.087374208375024,23.443354529286125,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
232,9.666666666666666,66.58080415675818,44.61990360575186,54.9827815944804,20.0,NOMINAL,0,0,NOMINAL,DEGRADED
236,9.833333333333334,10.59555156692005,6.448372793191993,3.0699255791414544,33.0,NOMINAL,0,0,NOMINAL,DEGRADED
240,10.0,35.58460614537586,28.087374208375252,23.443354529286353,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
244,10.166666666666666,66.58080415675778,44.61990360575163,54.98278159448,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
248,10.333333333333334,10.595551566920278,6.44837279319222,3.0699255791416817,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
252,10.5,35.58460614537597,28.087374208375365,23.443354529286466,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
256,10.666666666666666,66.58080415675875,44.619903605752086,54.98278159448097,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
260,10.833333333333334,10.595551566920335,6.44837279319222,3.0699255791417386,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
264,11.0,35.584606145376085,28.08737420837548,23.44335452928658,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
268,11.166666666666666,66.58080415675926,44.6199036057526,54.98278159448154,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
272,11.333333333333334,10.595551566920221,6.4483727931921635,3.0699255791416817,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
276,11.5,35.58460614537597,28.087374208375365,23.443354529286466,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
280,11.666666666666666,66.58080415675897,44.619903605752256,54.982781594481196,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
284,11.833333333333334,10.59555156692005,6.448372793191936,3.0699255791413975,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
288,12.0,35.584606145376085,28.087374208375536,23.44335452928658,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
292,12.166666666666666,66.58080415675897,44.6199036057522,54.982781594481196,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
296,12.333333333333334,10.595551566920278,6.448372793192334,3.0699255791416817,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
300,12.5,35.5846061453762,28.08737420837565,23.443354529286694,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
304,12.666666666666666,66.5808041567584,44.61990360575203,54.98278159448063,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
308,12.833333333333334,10.595551566920335,6.448372793192448,3.0699255791417954,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
312,13.0,35.58460614537654,28.08737420837616,23.44335452928709,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
316,13.166666666666666,66.58080415675971,44.619903605752654,54.982781594481935,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
320,13.333333333333334,10.595551566920506,6.448372793192448,3.069925579141909,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
324,13.5,35.584606145376085,28.087374208375536,23.44335452928658,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
328,13.666666666666666,66.58080415675983,44.619903605752995,54.982781594482105,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
332,13.833333333333334,10.595551566920392,6.448372793192391,3.0699255791418523,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
336,14.0,35.58460614537631,28.08737420837582,23.443354529286808,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
340,14.166666666666666,66.58080415675869,44.61990360575237,54.982781594481025,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
344,14.333333333333334,10.595551566920392,6.448372793192334,3.0699255791417954,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
348,14.5,35.58460614537603,28.08737420837548,23.443354529286523,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
352,14.666666666666666,66.58080415675869,44.619903605752484,54.982781594481025,20.0,NOMINAL,0,1,NOMINAL,DEGRADED
356,14.833333333333334,10.59555156692079,6.448372793193016,3.06992557914225,33.0,NOMINAL,0,1,NOMINAL,DEGRADED
360,15.0,35.58460614537631,28.08737420837582,23.443354529286808,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
364,15.166666666666666,41.085805527905904,28.57441876940618,38.46095220984114,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
368,15.333333333333334,-2.030132095386648,-4.322674242572134,-7.117273181299765,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
372,15.5,12.669510568416229,24.73283764641451,9.613942013744293,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
376,15.666666666666666,40.97831760163342,28.414813501511162,38.34895545145042,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
380,15.833333333333334,-2.0315224976246213,-4.324449077418535,-7.118696507741788,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
384,16.0,12.669497368048326,24.732819661593794,9.61392845254585,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
388,16.166666666666668,40.9783174649217,28.414813298565264,38.34895530900593,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
392,16.333333333333332,-2.031522499393077,-4.324449079675844,-7.118696509552024,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
396,16.5,12.6694973680315,24.732819661570943,9.613928452528569,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
400,16.666666666666668,40.97831746492221,28.414813298565036,38.348955309006385,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
404,16.833333333333332,-2.0315224993929633,-4.324449079675674,-7.11869650955191,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
408,17.0,12.669497368032125,24.732819661571682,9.613928452529137,15.0,NOMINAL,0,1,NOMINAL,DEGRADED
412,17.166666666666668,66.91735194653666,45.14867737336772,55.3352620932348,20.0,SAFE,0,1,NOMINAL,DEGRADED
416,17.333333333333332,8.254863121376843,3.3845555546691344,0.6686784171247382,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
420,17.5,35.57075840209325,28.067694309714625,23.429076032519163,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
424,17.666666666666668,66.5807186347846,44.61976926802447,54.98269203079769,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
428,17.833333333333332,10.595550869218016,6.448371875554642,3.069924863220024,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
432,18.0,35.58460614127483,28.087374202546755,23.443354525057828,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
436,18.166666666666668,66.58080415673453,44.61990360571309,54.9827815944555,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
440,18.333333333333332,10.595551566920335,6.44837279319222,3.0699255791417386,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
444,18.5,35.5846061453762,28.087374208375707,23.443354529286694,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
448,18.666666666666668,66.58080415675926,44.619903605752484,54.98278159448142,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
452,18.833333333333332,10.595551566920676,6.448372793192789,3.0699255791420796,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
456,19.0,35.584606145376654,28.087374208376275,23.443354529287205,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
460,19.166666666666668,66.58080415676062,44.61990360575322,54.98278159448279,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
464,19.333333333333332,10.595551566920562,6.448372793192789,3.069925579142023,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
468,19.5,35.58460614537648,28.087374208376104,23.443354529287035,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
472,19.666666666666668,66.5808041567604,44.61990360575345,54.982781594482674,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
476,19.833333333333332,10.595551566920903,6.44837279319313,3.069925579142307,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
480,20.0,35.584606145376654,28.087374208376218,23.44335452928715,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
484,20.166666666666668,66.58080415675926,44.61990360575277,54.982781594481594,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
488,20.333333333333332,10.595551566920392,6.448372793192505,3.0699255791418523,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
492,20.5,35.584606145376426,28.087374208376048,23.443354529286978,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
496,20.666666666666668,66.58080415675818,44.619903605752654,54.98278159448057,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
500,20.833333333333332,10.595551566920449,6.448372793192448,3.0699255791418523,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
504,21.0,35.584606145376426,28.087374208376104,23.443354529286978,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
508,21.166666666666668,66.58080415676028,44.619903605753166,54.98278159448239,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
512,21.333333333333332,10.595551566921245,6.448372793193641,3.0699255791427618,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
516,21.5,35.584606145376824,28.087374208376445,23.443354529287376,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
520,21.666666666666668,66.58080415675977,44.61990360575345,54.98278159448216,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
524,21.833333333333332,10.595551566920733,6.448372793193016,3.0699255791421933,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
528,22.0,35.58460614537694,28.087374208376673,23.44335452928749,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
532,22.166666666666668,66.58080415676113,44.619903605753734,54.982781594483356,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
536,22.333333333333332,10.595551566920733,6.448372793192846,3.0699255791421365,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
540,22.5,35.58460614537722,28.087374208376957,23.44335452928783,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
544,22.666666666666668,66.58080415676022,44.619903605753564,54.9827815944825,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
548,22.833333333333332,10.595551566920676,6.448372793192846,3.0699255791420796,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
552,23.0,35.58460614537631,28.087374208375877,23.443354529286808,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
556,23.166666666666668,66.58080415676164,44.61990360575396,54.982781594483754,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
560,23.333333333333332,10.595551566921074,6.448372793193187,3.0699255791424775,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
564,23.5,35.58460614537688,28.08737420837656,23.443354529287433,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
568,23.666666666666668,66.5808041567588,44.619903605752484,54.98278159448097,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
572,23.833333333333332,10.595551566921074,6.448372793193357,3.0699255791425344,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
576,24.0,35.584606145376654,28.087374208376275,23.443354529287205,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
580,24.166666666666668,66.58080415676324,44.619903605755155,54.982781594485346,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
584,24.333333333333332,10.595551566920506,6.448372793192846,3.069925579141966,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
588,24.5,35.584606145377904,28.08737420837764,23.443354529288513,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
592,24.666666666666668,66.58080415675931,44.61990360575271,54.98278159448154,20.0,DEGRADED,0,1,NOMINAL,DEGRADED
596,24.833333333333332,10.595551566921415,6.448372793193641,3.0699255791428754,33.0,DEGRADED,0,1,NOMINAL,DEGRADED
600,25.0,35.584606145376824,28.087374208376502,23.443354529287376,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
604,25.166666666666668,66.58080415676119,44.61990360575402,54.98278159448353,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
608,25.333333333333332,10.595551566920108,6.448372793192107,3.069925579141511,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
612,25.5,35.58460614537785,28.08737420837764,23.443354529288456,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
616,25.666666666666668,66.58080415675988,44.61990360575305,54.982781594482105,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
620,25.833333333333332,10.595551566921529,6.448372793193698,3.0699255791429323,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
624,26.0,35.58460614537648,28.087374208376104,23.443354529287035,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
628,26.166666666666668,66.58080415676307,44.61990360575504,54.982781594485175,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
632,26.333333333333332,10.59555156692079,6.448372793193073,3.06992557914225,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
636,26.5,35.5846061453783,28.08737420837832,23.44335452928891,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
640,26.666666666666668,66.58080415676108,44.619903605753734,54.9827815944833,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
644,26.833333333333332,10.5955515669217,6.4483727931943235,3.0699255791431597,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
648,27.0,35.58460614537671,28.087374208376332,23.443354529287262,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
652,27.166666666666668,66.58080415676233,44.61990360575521,54.98278159448472,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
656,27.333333333333332,10.59555156692079,6.44837279319313,3.06992557914225,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
660,27.5,35.584606145378075,28.08737420837781,23.443354529288683,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
664,27.666666666666668,66.58080415676062,44.61990360575322,54.98278159448279,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
668,27.833333333333332,10.595551566921301,6.448372793193585,3.0699255791427618,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
672,28.0,35.584606145376824,28.087374208376502,23.443354529287376,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
676,28.166666666666668,66.58080415676176,44.61990360575476,54.982781594484095,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
680,28.333333333333332,10.59555156692096,6.448372793193016,3.069925579142307,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
684,28.5,35.58460614537796,28.08737420837781,23.443354529288513,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
688,28.666666666666668,66.5808041567625,44.61990360575436,54.98278159448461,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
692,28.833333333333332,10.59555156692204,6.44837279319438,3.069925579143444,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
696,29.0,35.58460614537728,28.087374208377014,23.443354529287888,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
700,29.166666666666668,66.58080415676142,44.61990360575459,54.982781594483754,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
704,29.333333333333332,10.595551566921017,6.4483727931933,3.0699255791424775,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
708,29.5,35.584606145378075,28.08737420837798,23.443354529288683,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
712,29.666666666666668,66.58080415676187,44.61990360575447,54.98278159448415,20.0,NOMINAL,1,1,NOMINAL,DEGRADED
716,29.833333333333332,10.595551566921586,6.448372793194039,3.069925579143046,33.0,NOMINAL,1,1,NOMINAL,DEGRADED
