artifact_path,artifact_type,size_bytes,last_modified
dashboard/public/artifacts/discoveries/dataset_bias_elimination_report.json,JSON Config,1365,2026-05-23 00:19:13
dashboard/public/artifacts/discoveries/dynamic_discrimination_report.json,JSON Config,9430,2026-05-21 20:26:44
dashboard/public/artifacts/discoveries/embedding_intrinsic_stability_report.json,JSON Config,7196,2026-05-22 15:17:21
dashboard/public/artifacts/discoveries/epistemological_validity_report.json,JSON Config,6820,2026-05-23 00:47:58
dashboard/public/artifacts/discoveries/hyperparameter_stability_report.json,JSON Config,30772,2026-05-22 15:07:46
dashboard/public/artifacts/discoveries/manifold_diagnosis_report.json,JSON Config,34222,2026-05-22 14:39:41
dashboard/public/artifacts/discoveries/massive_sweep_report.json,JSON Config,10840,2026-05-21 10:09:25
dashboard/public/artifacts/discoveries/mit_bih_bifurcated_report.json,JSON Config,7181,2026-05-23 09:58:02
dashboard/public/artifacts/discoveries/noise_robustness_report.json,JSON Config,2920,2026-05-23 23:47:30
dashboard/public/artifacts/discoveries/physionet_empirical_report.json,JSON Config,6027,2026-05-23 00:54:10
dashboard/public/artifacts/discoveries/raw_embedding_robustness_report.json,JSON Config,8168,2026-05-22 15:23:58
dashboard/public/artifacts/discoveries/reproducibility_report.json,JSON Config,9583,2026-05-21 14:21:33
dashboard/public/artifacts/discoveries/scientific_regression_report.json,JSON Config,2255,2026-05-21 09:29:14
dashboard/public/artifacts/discoveries/strict_leakage_audit_report.json,JSON Config,1452,2026-05-23 00:14:48
dashboard/public/artifacts/discoveries/structural_invariance_report.json,JSON Config,19980,2026-05-21 20:24:27
dashboard/public/artifacts/embeddings/latent_embeddings.json,JSON Config,23136,2026-05-20 14:46:23
dashboard/public/artifacts/embeddings/manifold_snapshots.json,JSON Config,2553369,2026-05-21 14:21:28
dashboard/public/artifacts/experiments/pipeline_state.json,JSON Config,649,2026-05-20 14:46:23
dashboard/public/artifacts/history/history_index.json,JSON Config,2749,2026-05-21 10:09:25
dashboard/public/artifacts/history/massive_sweep_2026-05-20T22-56-14Z.json,JSON Config,10840,2026-05-20 22:56:14
dashboard/public/artifacts/history/massive_sweep_2026-05-20T23-02-23Z.json,JSON Config,10840,2026-05-20 23:02:23
dashboard/public/artifacts/history/massive_sweep_2026-05-21T09-54-05Z.json,JSON Config,10840,2026-05-21 09:54:05
dashboard/public/artifacts/history/massive_sweep_2026-05-21T10-02-11Z.json,JSON Config,10840,2026-05-21 10:02:11
dashboard/public/artifacts/history/massive_sweep_2026-05-21T10-09-25Z.json,JSON Config,10840,2026-05-21 10:09:25
dashboard/public/artifacts/sessions/lorenz.json,JSON Config,5167,2026-05-20 19:38:44
dashboard/public/artifacts/sessions/lorenz_isolation_noise0_seed42.json,JSON Config,5210,2026-05-20 21:30:18
dashboard/public/artifacts/sessions/lorenz_isolation_noise1_seed42.json,JSON Config,2750,2026-05-20 21:30:58
dashboard/public/artifacts/sessions/lorenz_noise_0.0.json,JSON Config,5177,2026-05-20 19:41:09
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_1337.json,JSON Config,2699,2026-05-21 10:03:12
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_42.json,JSON Config,2696,2026-05-21 10:03:06
dashboard/public/artifacts/sessions/lorenz_noise_0.0000_seed_9001.json,JSON Config,2699,2026-05-21 10:03:19
dashboard/public/artifacts/sessions/lorenz_noise_0.2.json,JSON Config,5199,2026-05-20 19:41:33
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_1337.json,JSON Config,2715,2026-05-21 10:03:32
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_42.json,JSON Config,2700,2026-05-21 10:03:25
dashboard/public/artifacts/sessions/lorenz_noise_0.2222_seed_9001.json,JSON Config,2706,2026-05-21 10:03:38
dashboard/public/artifacts/sessions/lorenz_noise_0.2500_seed_42.json,JSON Config,5235,2026-05-20 21:05:46
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_1337.json,JSON Config,2714,2026-05-21 10:03:51
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_42.json,JSON Config,2705,2026-05-21 10:03:45
dashboard/public/artifacts/sessions/lorenz_noise_0.4444_seed_9001.json,JSON Config,2703,2026-05-21 10:03:58
dashboard/public/artifacts/sessions/lorenz_noise_0.5.json,JSON Config,5205,2026-05-20 19:41:57
dashboard/public/artifacts/sessions/lorenz_noise_0.5000_seed_42.json,JSON Config,5194,2026-05-20 21:05:31
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_1337.json,JSON Config,2716,2026-05-21 10:04:11
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_42.json,JSON Config,2711,2026-05-21 10:04:04
dashboard/public/artifacts/sessions/lorenz_noise_0.6667_seed_9001.json,JSON Config,2714,2026-05-21 10:04:17
dashboard/public/artifacts/sessions/lorenz_noise_0.7500_seed_42.json,JSON Config,5195,2026-05-20 21:05:31
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_1337.json,JSON Config,2719,2026-05-21 10:04:30
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_42.json,JSON Config,2715,2026-05-21 10:04:24
dashboard/public/artifacts/sessions/lorenz_noise_0.8889_seed_9001.json,JSON Config,2716,2026-05-21 10:04:37
dashboard/public/artifacts/sessions/lorenz_noise_1.0000_seed_42.json,JSON Config,5235,2026-05-20 21:05:53
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_1337.json,JSON Config,2718,2026-05-21 10:04:50
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_1337_debug.json,JSON Config,3071,2026-05-20 22:15:16
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_42.json,JSON Config,2716,2026-05-21 10:04:43
dashboard/public/artifacts/sessions/lorenz_noise_1.1111_seed_9001.json,JSON Config,2718,2026-05-21 10:04:57
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_1337.json,JSON Config,2722,2026-05-21 10:05:10
dashboard/public/artifacts/sessions/lorenz_noise_1.3333_seed_42.json,JSON Config,2714,2026-05-21 10:05:03
