Time_s,T_CPU_Core_C,T_Boundary_Max_C
0.0,20.0,20.0
0.08333333333333333,19.99761585519758,20.438329977699766
0.16666666666666666,19.9953578124954,20.758512255873484
0.25,19.99321256782133,21.0061603581521
0.3333333333333333,19.991169108774557,21.178913839474205
0.41666666666666663,19.98921741679328,21.290796774439684
0.5,19.987348311989592,21.380326448058213
0.5833333333333333,19.985553638808767,21.474915847212856
0.6666666666666666,19.98382706155047,21.550385299965
0.75,19.982162923165504,21.603738830348334
0.8333333333333333,19.98055572781044,21.640864988323585
0.9166666666666666,19.979000112102426,21.676359415619572
1.0,19.977485606341247,21.718336418300908
1.0833333333333333,19.976015389810073,21.754342101044188
1.1666666666666665,19.974595437637447,21.777897562032024
1.25,19.973223041534197,21.78961314294105
1.3333333333333333,19.971886809793716,21.797188428942036
1.4166666666666665,19.970566284885592,21.814946941642802
1.5,19.969249030905985,21.840293414434484
1.5833333333333333,19.967980854286623,21.85887097712515
1.6666666666666665,19.966781681998327,21.86726753881385
1.75,19.96562587234348,21.870613906872677
1.8333333333333333,19.964444329666037,21.881863159943975
1.9166666666666665,19.963234334888455,21.899049449957204
2.0,19.962087695556818,21.911033136396668
2.083333333333333,19.961032731777607,21.915339131353733
2.1666666666666665,19.96002369658305,21.9164847521879
2.25,19.958946726140596,21.925165470558113
2.333333333333333,19.957812521601397,21.939159218616908
2.4166666666666665,19.956762918356162,21.948288066152372
2.5,19.955842367861692,21.949802624706933
2.583333333333333,19.954987654260776,21.947851866230792
2.6666666666666665,19.95403089483699,21.953231506004045
2.75,19.952948456736067,21.966536057878045
2.833333333333333,19.951960570526182,21.97548715330157
2.9166666666666665,19.951152153093346,21.975847527091503
3.0,19.95044923063932,21.971436611599927
3.083333333333333,19.949620250517228,21.974056518300927
3.1666666666666665,19.948608382532427,21.98614820326128
3.25,19.947695661225225,21.994273420182708
3.333333333333333,19.94697790550424,21.99425411406429
3.4166666666666665,19.946363910577247,21.990168012008724
3.5,19.94558825803057,21.99376373967158
3.583333333333333,19.94468715519389,22.003296800722467
3.6666666666666665,19.943901744252912,22.00856063214627
3.75,19.9432755372909,22.007807826982855
3.833333333333333,19.942690892532823,22.005859228941688
3.9166666666666665,19.941935105354617,22.011370292284937
4.0,19.941157174768136,22.01825716279086
4.083333333333333,19.940499410279926,22.02092278445923
4.166666666666666,19.939961147411168,22.019398796324765
4.25,19.939413178776647,22.01872280872766
4.333333333333333,19.938704174167754,22.02475137330356
4.416666666666666,19.938008401937168,22.030719586583814
4.5,19.937444285090066,22.032126705986343
4.583333333333333,19.93700044871491,22.029401056560744
4.666666666666666,19.93653828334658,22.027795679723624
4.75,19.93592292838366,22.032417689274098
4.833333333333333,19.9353460321517,22.03600312181885
4.916666666666666,19.93483557377533,22.037495785879003
5.0,19.93434169599982,22.038755314851983
