Complexity,Loss,Equation
1,0.0747124,"0.5000765"
3,0.00028669537,"1.0001119 - x0"
5,3.149674e-5,"(1.0293471 - x0) * 0.9447715"
6,5.8734963e-6,"tanh(0.49723265 - x0) + 0.50266886"
8,1.8681002e-8,"(tanh(0.49797118 - x0) * 0.9912241) + 0.50197005"
10,1.8008404e-8,"(tanh(0.49541506 - (x0 * 0.99465615)) + 0.5038486) * 0.9960799"
