time,T_measured,T_predicted_60s,error,action_taken,power_W,estimated_C,estimated_eps
0,20.248357076505616,25.295049788049198,-0.2696874030551122,NOMINAL,30.0,279.7035647429574,0.6488933083737076
5,20.650930968844914,25.596682432516786,-0.36540914087057175,NOMINAL,30.0,279.2917235786809,0.6473573958169606
10,21.725607664163682,25.87652990982292,0.23029764458235746,NOMINAL,30.0,279.557591782918,0.648347459670376
15,22.807657211758002,26.134680997055113,0.8534683166387289,NOMINAL,30.0,280.5629591127759,0.6520949005982732
20,22.537350879577538,26.391439149327653,0.14496113090505247,NOMINAL,30.0,280.73650444562554,0.6527441058266001
25,23.110908571773127,26.634999032300925,0.2990251023669721,NOMINAL,30.0,281.1009739222488,0.6541083709845247
30,24.557840245967157,26.853467273778108,1.344809550322168,NOMINAL,30.0,282.7667688643214,0.6603517920588097
35,24.66040835721617,27.065527864124306,1.0656218079242308,NOMINAL,30.0,284.10054223528147,0.6653804158788582
40,24.520126589441144,27.27455202185979,0.5616290158096824,NOMINAL,30.0,284.8109837205399,0.6680715733613697
45,25.47554809422777,27.46700296856295,1.1697887126843156,NOMINAL,30.0,286.3084296374598,0.6737580939569198
50,25.394694822539382,27.65583924450027,0.7582853593208689,NOMINAL,30.0,287.2871693461988,0.6774943796773583
55,25.78987678212974,27.835703475712933,0.8380319608054378,NOMINAL,30.0,288.3789572333284,0.6816764683656238
60,26.515696096665156,28.003174503852108,1.2630128470779347,NOMINAL,30.0,290.0379442658815,0.6880553610391075
65,25.787071328179543,28.174343575229614,0.24797284718000157,NOMINAL,30.0,290.36547053045905,0.6893219616320563
70,26.208610227037806,28.33730517677725,0.39551779662525277,NOMINAL,30.0,290.8928853823443,0.6913638691204884
75,27.096929249340683,28.487555487151724,1.0218611143105178,NOMINAL,30.0,292.26684979600617,0.6966928887565254
80,27.159537550991573,28.633500068656986,0.8346407354752756,NOMINAL,30.0,293.39450922375596,0.701087255004408
85,28.09300735701798,28.76713923030394,1.5295790079742204,NOMINAL,30.0,295.47179055172063,0.709213427480913
90,27.734971105578495,28.900503495959356,0.9444339673798368,NOMINAL,30.0,296.7562732377202,0.7142738061364462
95,27.720162684806276,29.030717499027844,0.7127112465099188,NOMINAL,30.0,297.72921885583486,0.7181235090123751
100,29.38171100175382,29.1439150021954,2.1667811679302886,NOMINAL,30.0,300.70014648314776,0.7299172685024697
105,28.744767029744903,29.259013534769224,1.3326018477174237,NOMINAL,30.0,302.52236883980794,0.7372231688967708
110,29.087288770369792,29.36850072280987,1.4867934778759313,NOMINAL,30.0,304.5570730772699,0.7454304161741758
115,28.52497587770542,29.479234099366238,0.7446845631091783,NOMINAL,30.0,305.5759734376339,0.749567926994307
120,29.13774697136679,29.582967704106522,1.185150173016293,NOMINAL,30.0,307.202149633318,0.756193531980671
125,29.627512635055677,29.680730010370723,1.5100378185836227,NOMINAL,30.0,309.2753016467377,0.76468522204786
130,29.148910140670036,29.779085558270765,0.8738049550643403,NOMINAL,30.0,310.473599419851,0.7696266074510896
135,30.055530425864887,29.869327131271916,1.629215272928647,NOMINAL,30.0,312.71111270053507,0.7788891248111389
140,29.702192153107777,29.959353194122514,1.1312286196343884,NOMINAL,30.0,314.26143935956304,0.785353183139058
145,29.983649343650466,30.04552071399263,1.2739280850244477,NOMINAL,30.0,316.00715720673776,0.7926680071839755
150,29.94834558686623,30.12976334305222,1.1055253044066014,NOMINAL,30.0,317.5207210744629,0.7990453007185176
155,31.288288061524394,30.204615738535722,2.317630218097303,NOMINAL,30.0,320.6926371542487,0.8124739551297345
160,30.46209521509533,30.281700084811405,1.3692106861143145,NOMINAL,30.0,322.55583654387846,0.8204408128071287
165,30.040895045761765,30.359037661042862,0.8305930164397566,NOMINAL,30.0,323.6841004035692,0.8252931873818589
170,31.076579838088296,30.429537189370933,1.7531644436745957,NOMINAL,30.0,326.0664588128557,0.8355749412291761
175,30.14550389054153,30.502675650686967,0.7134806495012604,NOMINAL,30.0,327.0324817733869,0.8397747770408068
180,30.946423002657447,30.570560474995432,1.4096052348576578,NOMINAL,30.0,328.94216606777655,0.8481018276301123
185,29.94403034639587,30.641377611296207,0.3063331274536054,NOMINAL,30.0,329.3561754020678,0.8499176293260327
190,30.337794091082714,30.709197841740377,0.6024911304984073,NOMINAL,30.0,330.17209708356796,0.8535006805853197
195,31.17480426884712,30.7721302371761,1.345128528026045,NOMINAL,30.0,331.9949986025865,0.8615256301494687
200,31.516855395642803,30.832240237042583,1.5961522797084875,NOMINAL,30.0,334.15277200384253,0.8710772298472645
205,31.30159464672078,30.891835379073427,1.2931175144358846,NOMINAL,30.0,335.8946917459086,0.8788381273195258
210,31.22367477842405,30.950466892994996,1.1303985756188943,NOMINAL,30.0,337.4138016362082,0.8856416066305972
215,31.19407865208001,31.00803121724067,1.0187725862721209,NOMINAL,30.0,338.7804517755834,0.8917899615510404
220,30.666271480182274,31.06648806512294,0.41153111101976947,NOMINAL,30.0,339.33172769126037,0.8942801149345876
225,31.10449497856072,31.122437480754627,0.7726049008258222,NOMINAL,30.0,340.3676417399471,0.8989670283196612
230,31.291163062774338,31.176778315993317,0.8844047788086371,NOMINAL,30.0,341.55276683866157,0.9043454047865449
235,32.105474532488884,31.227314500360876,1.6260467596701034,NOMINAL,30.0,343.7293401054506,0.9142575997398631
240,31.802691494507325,31.277836821757262,1.2528829699239274,NOMINAL,30.0,345.3996369219725,0.9219126667068406
245,30.802029761401023,31.330807979159886,0.18390978096461907,NOMINAL,30.0,345.6441785110719,0.9230388610546707
250,31.897107416063363,31.379519365780254,1.2123720361645383,NOMINAL,30.0,347.2586125486398,0.9304791240770103
255,31.593027132319612,31.428374816334326,0.8435473905814277,NOMINAL,30.0,348.37904451751916,0.9356668527565862
260,31.4967267305564,31.476819610799907,0.6841905831163153,NOMINAL,30.0,349.2867475240191,0.9398831821713881
265,32.189882125092154,31.522436665351734,1.3158581877454054,NOMINAL,30.0,351.0314102176908,0.9480083496087092
270,32.44774831575173,31.566481275324293,1.5138705827987096,NOMINAL,30.0,353.032508387913,0.9573743271110711
275,32.44554492005602,31.609727189232103,1.453407774980633,NOMINAL,30.0,354.9463921813181,0.9663831697290548
280,31.607499910380266,31.654674056878093,0.5586068210039166,NOMINAL,30.0,355.6793531514702,0.9698519944219242
285,31.919342399953948,31.69819295675603,0.8149459266716548,NOMINAL,30.0,356.7483666175127,0.9749216746634205
290,32.28613818211668,31.740429319049554,1.1274880853426694,NOMINAL,30.0,358.2255005034741,0.98
295,32.65463039739154,31.78226667779802,1.442980271771944,NOMINAL,30.0,360.1113710787438,0.98
300,31.97348515030502,31.824852706574575,0.7100873163418093,NOMINAL,30.0,361.0360742699181,0.98
305,32.16638427877309,31.866769473598083,0.8522928373274183,NOMINAL,30.0,362.14491536967233,0.98
310,31.75217359181294,31.909059152225097,0.3884113833018361,NOMINAL,30.0,362.64949413419214,0.98
315,31.753404722140488,31.951099139988116,0.34085582305129947,NOMINAL,30.0,363.0923659863107,0.98
320,32.80402675559909,31.99122519511735,1.343514012984393,NOMINAL,30.0,364.8385183576458,0.98
