baseline,mean_metric,mean_time_s,mean_acc_per_sec,status_ok_pct,win_rate_real,win_rate_total
AI_Feynman,,,,0.0,1.0,0.6666666666666666
OUR_PIPELINE_EV3,471.88340400717544,44.70277630002238,0.022369975262576686,1.0,1.0,0.6666666666666666
OUR_PIPELINE_SINDy,,0.0025312999496236444,0.0,0.0,1.0,0.6666666666666666
OUR_PIPELINE_TOPO,,6.900052540004253e-06,,0.0,1.0,0.6666666666666666
PySINDy,,,,0.0,1.0,0.6666666666666666
Ripser,297.0,0.028414000058546662,,1.0,1.0,0.6666666666666666
sklearn_RF,0.993127147766323,0.2351799999596551,4.2228384553818055,1.0,1.0,0.6666666666666666
