Time_s,Pressure_mbar,Heater_Power_W,T_Real_CPU,T_Real_Battery,T_Meas_CPU,T_Meas_Battery,T_Meas_Payload,T_Meas_Structure,T_Meas_Radiator,T_Meas_Panels,T_Pred_CPU,T_Pred_Battery,T_Pred_Payload,T_Pred_Structure,T_Pred_Radiator,T_Pred_Panels
0.0,5.049671415301124e-06,40.0,21.979179208170763,20.00334336653657,20.764018823034064,20.130875054234764,20.365720426793814,19.919856058128516,18.70400265975826,21.468168592417953,21.979179208170763,20.00334336653657,20.15278613878047,19.916716832682937,17.3453490417686,19.722389442276437
10.0,5.126414888216415e-06,40.0,22.688125312319187,20.00433390136908,21.456358257701652,20.111047977233568,20.027652160745106,19.826658805809814,18.23648342923252,17.865629534327468,23.75154101122837,20.005819703610086,20.29373969067467,19.748629205898055,15.428928691905071,19.4510168913734
20.0,4.953923104965111e-06,40.0,23.365941100444445,20.005051443341245,22.16407081526279,19.800975934379437,20.24027982944142,19.680379015185338,15.741806338435026,21.135353684900224,25.329336542079147,20.006589835062698,20.419214276996797,19.536787839338217,14.016847611212484,19.183427922559815
30.0,4.931345474916458e-06,40.0,24.01359510209909,20.00546913214214,22.98486067444378,19.719363310681956,20.123345813627736,19.81763750616767,15.25290754416011,19.93691208620794,26.727696362010533,20.005233675513864,20.527799081175488,19.30664523395427,12.953533055307446,18.918337722344972
40.0,4.8712816059245775e-06,40.0,24.632082181272438,20.005566729137513,23.577307142654035,19.88447313796388,20.655039351380594,19.71939862577716,14.674923127630052,20.275880356262462,27.962781294839544,20.001589961469676,20.619426734025183,19.07362077922852,12.134717025933014,18.655179435254183
50.0,4.749197240927475e-06,40.0,25.222412198275947,20.00532956269899,24.312125133878965,19.61308647654954,20.06878953563364,19.682883305475286,15.869016748105594,19.51735689495422,29.050675253123245,19.995653272802315,20.694804227946463,18.84670863087007,11.489955583894186,18.393814717210432
60.0,4.737632412688651e-06,40.0,25.785600608093716,20.004747625989182,24.816230953046443,19.709206953117473,20.237728524628096,19.46890464233644,15.646306673493882,19.58272939913934,30.006749959319393,19.987508186322543,20.755052787005923,18.63082029065555,10.97122820846431,18.134349339605194
70.0,4.561328397152377e-06,40.0,26.322660708637386,20.00381480568535,25.519752092632473,19.927456276905446,20.2909849871113,19.59812258029814,15.132186866495488,20.06393564522,30.845327717525322,19.97728752866817,20.801482941148493,18.428304944165404,10.545459540521165,17.877016890385107
80.0,4.477406644830113e-06,40.0,26.834597293421325,20.002528223174124,25.944957621450385,20.069947615343608,20.663548674277422,19.292882204714772,13.474512914316051,17.92025206612317,31.57953011744945,19.96514625959037,20.8354569068062,18.23993386778392,10.189591629057304,17.622106564436763
90.0,4.357785982422046e-06,40.0,27.322401498322847,20.000887672356157,26.695545821780343,20.273820032094363,20.49352185589197,19.50131214059229,13.62221843850972,18.275761539641735,32.22124042135977,19.951245466455077,20.8583070955155,18.065535037807877,9.887323982517444,17.369919404992174
100.0,4.393925542972888e-06,40.0,27.78704666219346,19.99889514043025,27.34225037255152,19.993936064178286,20.857781905239165,18.688153560989633,13.719484169925693,18.902569660248048,32.781133241866314,19.935742868556588,20.87129044354083,17.90439941514012,9.626948795103885,17.120742799524294
110.0,4.364024807926301e-06,40.0,28.22948504688685,19.99655439994268,27.530932009616834,19.601768740257114,20.535336616391646,19.19516587119216,14.044847766032603,18.192232142145997,33.26874191856774,19.918787481411528,20.87556534834448,17.75553836804545,9.399907718588565,16.874836584560512
120.0,4.283175447636982e-06,40.0,28.650645284394216,19.993870662026495,27.867454617626606,20.180198202257372,20.676980857754188,18.930013558265898,12.778287788094133,18.702895391232914,33.69254491677151,19.900516909861267,20.872182634078797,17.617844278088512,9.199825376818524,16.63242643588046
130.0,4.380039946690271e-06,40.0,29.05143043776127,19.990850282165695,28.260845172135134,19.929078350776877,20.56237144945817,18.656421065386837,12.28468926216101,18.762526255257853,34.06005965060183,19.8810562749249,20.86208500106079,17.49018842826166,9.02185872569288,16.393701740463598
140.0,4.380551292354517e-06,40.0,29.432716578757606,19.987500511030362,28.766922679374375,19.708692524059927,20.58389611344819,18.79496010431683,10.932513272594122,18.23618178103669,34.3779367073476,19.860518130511707,20.84611139745948,17.371478503389994,8.862256246267577,16.158816141426996
150.0,4.420956378035971e-06,40.0,29.795351799261482,19.9838292839691,29.58368196357634,20.02350727963602,20.744508202640247,18.7644378212093,9.582454643515575,18.267302168665935,34.652050388625184,19.83900295599102,20.825004046709637,17.260690306446406,8.718056973747423,15.92788959782905
160.0,4.4269793990300735e-06,40.0,30.14015558534038,19.979845043639102,30.072577526633722,19.946620854741184,20.77609564469674,18.689827707273878,10.117041355911226,19.333350416630537,34.88758335508521,19.816599960886833,20.799416708114677,17.156883219546614,8.58688305443917,15.701011225937918
170.0,4.502172702298751e-06,40.0,30.467918493328796,19.975556591026702,30.09333124922216,19.799400974070238,21.017024441673755,18.335593341696892,11.673236346378758,20.278070481933185,35.089104337195295,19.793388035951637,20.769923295949127,17.059205605495265,8.466795134148185,15.478242464989364
180.0,4.403119069785682e-06,40.0,30.779402076075144,19.97097296077135,30.159576200397623,19.997086536343545,20.654418546584736,18.22687029622614,10.970105620357458,16.922788030713605,35.26063859903769,19.76943674852737,20.737026336072574,16.966894158353,8.356190185971741,15.25962028957315
190.0,4.450478312849201e-06,40.0,31.075339015142617,19.966103317277486,30.409952207001197,20.282721965910127,20.615157511950713,18.395541455913815,11.543263232578681,16.652108740011954,35.40573127491405,19.744807321229814,20.70116496564583,16.87926977774532,8.253728196914551,15.045160306108414
200.0,4.473224306309614e-06,40.0,31.356433421295264,19.960956868590984,31.160304151683306,19.64652715146815,20.82355327902866,18.436832727034982,11.35152207021963,16.544323390542445,35.52750394448287,19.71955355936541,20.66272232505844,16.795731603790102,8.158278641747245,14.834859644443668
210.0,4.341178645001186e-06,40.0,31.623361271215913,19.955542795437452,31.293058182105824,20.02242833184988,20.849743957823875,18.381019242743264,9.74023834171993,17.9122641314151,35.62870493953403,19.69372270921025,20.622032280595533,16.715750237888813,8.068880661908736,14.628699601943083
220.0,4.370485892331054e-06,40.0,31.87677095322988,19.949870193187166,31.32104001907618,20.330921817825754,20.905706943539826,18.002315475375894,10.936983753711047,16.60451595946836,35.71175392885635,19.66735623971738,20.57938547072399,16.63886077743706,7.984712852592224,14.426648026029739
230.0,4.449194352705299e-06,40.0,32.11728389894665,19.943948024822703,31.956978856988997,19.788102895616817,21.01326072127398,18.25394000667876,10.971368031084353,19.375644080598647,35.77878133587228,19.64049054657488,20.53503470063879,16.564656036116958,7.905069882386215,14.228661438304982
240.0,4.424655541105012e-06,40.0,32.345495281286446,19.93778508325761,31.822606724355637,19.76855476295026,20.66549108377228,18.088708573068914,10.36725599555615,17.65567673474243,35.831663125412376,19.613157581264716,20.489199727058406,16.492780157321874,7.829344051330395,14.034686913156008
250.0,4.5073738660086144e-06,40.0,32.561974762404816,19.931389961585808,32.21140265767377,20.231137389390994,20.782282348615126,18.582812344380955,10.5357814643275,16.422459248930295,35.8720514630881,19.585385409820844,20.442071483529162,16.422922724481396,7.7570104832008155,13.844663728885962
260.0,4.400284616202503e-06,40.0,32.767267277639064,19.924771030044212,32.52868276168317,19.88947419932822,20.983135664946985,18.06993976991265,9.727881571273315,16.33396412569732,35.90140171069578,19.557198706974873,20.39381579916477,16.3548134075682,7.687615044239806,13.658524811602547
270.0,4.248799893733916e-06,40.0,32.96189384383956,19.91793641864217,32.55476751430314,20.09895438015758,20.88690360993479,17.66447618612267,9.87051367911431,17.467739966521606,35.92099617860333,19.528619191712153,20.344576663055363,16.288217146052943,7.620764348232626,13.476197992517655
280.0,4.160414150113803e-06,40.0,33.14635238236053,19.910894004561214,32.87572827696323,19.93260411828942,20.617931456463452,17.92528044938024,10.160264136071248,18.06767515921058,35.9319650139289,19.49966601020151,20.294479083972476,16.22292984595134,7.556117389733629,13.297607098678725
290.0,4.265794355317293e-06,40.0,33.32111854862541,19.90365140355607,32.75990349932323,19.726472978199467,20.950726204456032,17.898292615048263,10.02174930824691,20.74010550979341,35.93530456313022,19.47035607177878,20.243631591387214,16.158774556433627,7.493378471827384,13.122672895936319
300.0,4.32288340638661e-06,40.0,33.486646561577004,19.89621596470039,33.44303417641572,20.09770953028834,20.97800332078765,17.675951171384042,10.177564225435333,16.017859148513196,35.93189351023534,19.440704343259142,20.19212841978384,16.095598085855897,7.432291180960192,12.951313901451897
310.0,4.299201545712609e-06,40.0,33.64337002751989,19.888594767913105,33.289827930469926,19.915958241596286,21.3095319764372,17.31062093078299,10.021056381522214,15.081849806701257,35.922507057738585,19.41072410639947,20.140051414135883,16.03326801550446,7.372633221650233,12.783447081445786
320.0,4.252008359133666e-06,40.0,33.79170275387628,19.880794623784425,33.76661160496542,19.904923901564246,20.62885046165593,17.48762287897756,9.93457485077198,15.868661317906401,35.90782938624699,19.38042718286431,20.087471690426412,15.971670070179528,7.314211966638311,12.61898844829102
