Time_s,T_CPU_Core_C,T_Boundary_Max_C
0.0,20.0,20.0
60.0,19.80873965863009,21.966658178918124
120.0,19.65409309882847,21.81545315849303
180.0,19.499949996034104,21.654979162242967
240.0,19.34650279245409,21.511307857574764
300.0,19.194590255075752,21.351204618028987
360.0,19.04349659835873,21.20281702504576
420.0,18.89355013044309,21.052676688166855
480.0,18.74464434492222,20.904648030978763
540.0,18.59684343142601,20.755796896873278
600.0,18.45016150788649,20.60518878428843
660.0,18.304215025098358,20.46774159346006
720.0,18.15983099035202,20.310132666532468
780.0,18.015923246478792,20.175289108811285
840.0,17.873390310000957,20.027046254476772
900.0,17.731519220451617,19.893465906328174
960.0,17.5909987895634,19.74674845804884
1020.0,17.45130881520737,19.60728123461456
1080.0,17.312505050045218,19.47250157356484
1140.0,17.175077930929604,19.322526839622867
1200.0,17.03804804882043,19.1960562748323
1260.0,16.902330895713078,19.056274521366277
1320.0,16.76725873295959,18.929466786448472
1380.0,16.633551621381173,18.786613235277116
1440.0,16.50045804590468,18.657344736478024
1500.0,16.3684310223623,18.5232908714961
1560.0,16.237189993840786,18.39531991993988
1620.0,16.107002617068588,18.26245524050813
1680.0,15.977653327398059,18.132981460376243
1740.0,15.84907340147197,18.009334269379394
1800.0,15.721779776781887,17.87061187234349
1860.0,15.594893782504755,17.751535448092795
1920.0,15.469239842932893,17.618954938049967
1980.0,15.344028381068028,17.504046930569928
2040.0,15.220111367176173,17.372569548264778
2100.0,15.096811466904398,17.25123205848672
2160.0,14.974359315414631,17.130560836231837
2220.0,14.852943235230725,17.00277142566972
2280.0,14.732075379260664,16.887029990031124
2340.0,14.612356583519329,16.75911755530069
2400.0,14.492936877086436,16.652637798244086
2460.0,14.374868155018532,16.52540088054917
2520.0,14.257269870470111,16.41223447070655
2580.0,14.140675350190804,16.291620892830053
2640.0,14.024800061659676,16.17463976670666
2700.0,13.909621251600527,16.06194044689198
2760.0,13.795372176449689,15.9439719120262
2820.0,13.681597507902381,15.83862831191351
2880.0,13.568940061901628,15.72004117474495
2940.0,13.456824740750562,15.610882867322971
3000.0,13.345724653712523,15.492053241142571
3060.0,13.234985285102368,15.389394617612083
3120.0,13.125301046264497,15.274991894951825
3180.0,13.016096815997969,15.171527951559028
3240.0,12.907832326192704,15.060445187642472
3300.0,12.800224783462625,14.952780722357488
3360.0,12.693345503950923,14.845461330206547
3420.0,12.587348310127823,14.732127819543791
3480.0,12.481567559078087,14.639082031124474
3540.0,12.377015716298956,14.525748940146457
3600.0,12.272892445856826,14.423802751522487
